compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_products,num_downstream_reaction_types,num_downstream_reactions,num_downstream (Amidation),num_downstream (Steglich_esterification),num_downstream (N-nucleophilic_aromatic_substitution),num_downstream (Reductive_amination),num_downstream (Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol),num_downstream (Ester_amidation),downstream_product_ids,downstream_reaction_types,downstream_reaction_ids
61484,Nc1ccc2c(c1)CNC2,YTIFSHPDDSIFRO-UHFFFAOYSA-N,1.0,1.0,3426,Enamine,,Z1192340875,14.0,EUR,,,Nc1ccc2c(c1)CNC2,2025-12-09,1,1,1,1.0,,,,,,{5576},{'Amidation'},{4751}
128643,O=C(O)C1CCCN(c2cc(=O)[nH]cn2)C1,PVHYMLCSLUIQCN-UHFFFAOYSA-N,1.0,1.0,18,Enamine,,EN300-7431714,36.0,EUR,,,Cl.O=C(O)C1CCCN(c2cc(=O)[nH]cn2)C1,2025-12-01,1,1,1,1.0,,,,,,{5576},{'Amidation'},{4751}
124938,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,DEQDFNBVRHFKBQ-UHFFFAOYSA-N,17.0,17.0,,Enamine,,Z3244911186,71.4,EUR,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,2025-12-09,17,1,17,17.0,,,,,,"{142816, 35875, 142819, 142821, 141606, 142822, 142823, 142825, 142804, 142805, 142806, 142808, 142809, 142810, 142811, 142812, 142814}",{'Amidation'},"{10816, 10817, 10818, 10819, 10821, 10822, 10823, 10824, 10825, 9994, 10827, 10829, 10832, 10834, 10835, 10836, 10838}"
127535,CN1Cc2ccc(N)cc2C1,QAJAXOPOSLBUDC-UHFFFAOYSA-N,2.0,10.0,2134,Enamine,,EN300-106530,15.0,EUR,,,CN1Cc2ccc(N)cc2C1.Cl.Cl,2025-12-01,2,1,2,2.0,,,,,,"{35875, 142775}",{'Amidation'},"{10816, 10788}"
65266,Nc1cccc2ncccc12,XMIAFAKRAAMSGX-UHFFFAOYSA-N,1.0,1.0,61,Enamine,,EN300-30137,14.0,EUR,,,Nc1cccc2ncccc12,2025-12-01,1,1,1,1.0,,,,,,{55811},{'Amidation'},{4941}
128973,CCSc1cccnc1C(=O)O,RALPFOAVVTWNMR-UHFFFAOYSA-N,1.0,1.0,62,Enamine,,EN300-249430,15.0,EUR,,,CCSc1cccnc1C(=O)O,2025-12-01,1,1,1,1.0,,,,,,{55811},{'Amidation'},{4941}
54155,CC(=O)N(C)C1CCNCC1,UGQXPTUMTGDBJJ-UHFFFAOYSA-N,1.0,1.0,100,Enamine,,EN300-55963,14.0,EUR,,,CC(=O)N(C)C1CCNCC1.Cl,2025-12-01,1,1,1,1.0,,,,,,{114014},{'Amidation'},{4956}
128998,O=C(O)c1cccc2[nH]c(=O)[nH]c12,NEGPAVSXSLHMAR-UHFFFAOYSA-N,1.0,1.0,101,Enamine,,EN300-170339,14.0,EUR,,,O=C(O)c1cccc2[nH]c(=O)[nH]c12,2025-12-01,1,1,1,1.0,,,,,,{114014},{'Amidation'},{4956}
128922,O=C(O)CCc1cnc2ccccc2c1,PDVKRIXEUOTSJQ-UHFFFAOYSA-N,1.0,1.0,106,Enamine,,EN300-152096,22.0,EUR,,,O=C(O)CCc1cnc2ccccc2c1,2025-12-01,1,1,1,,1.0,,,,,{117748},{'Steglich_esterification'},{5003}
129076,CCn1cncc1CO,FRNCAMZAPFINSG-UHFFFAOYSA-N,1.0,1.0,107,Enamine,,EN300-95416,14.0,EUR,,,CCn1cncc1CO,2025-12-01,1,1,1,,1.0,,,,,{117748},{'Steglich_esterification'},{5003}
