name gnina_score gnina_score_min smina_score_min min_rmsd 
P17661 4.881 4.793 -7.840 1.369
P23307 4.836 4.940 -7.767 1.097
P30966 4.662 4.931 -6.119 0.926
P31229 4.363 4.234 -3.743 0.941
P31731 4.768 4.838 -5.710 0.398
P31783 3.013 4.664 -3.500 4.483
P31894 5.048 5.394 -8.045 0.995
P32606 4.272 4.349 -6.226 0.286
P32634 4.328 4.146 -5.215 1.282
P34338 4.063 3.809 -5.264 1.291
P34801 5.007 4.877 -6.779 2.400
P35392 4.665 4.608 -5.956 0.861
P35516 4.910 4.938 -6.824 0.471
P35692 4.907 4.610 -4.107 1.421
P36311 2.620 4.415 45.533 5.143
P37294 4.584 4.314 -4.786 0.709
P38465 4.185 4.215 -5.268 0.706
P41214 5.241 4.977 -6.586 0.874
P41471 5.273 5.397 -7.146 0.920
P42146 3.842 4.083 -4.485 1.230
P44063 4.810 4.260 -5.009 1.068
P44696 4.880 4.269 -4.040 1.423
P44733 5.270 5.211 -6.037 1.196
P44791 5.344 4.885 -4.852 1.487
P47327 5.025 5.238 -5.340 1.406
P48276 3.850 3.992 -4.221 1.146
P48957 4.643 4.509 -5.883 1.654
P50682 3.530 3.603 -3.873 1.031
P51493 4.405 4.039 -3.396 1.049
P52585 4.751 4.645 -4.547 0.936
P54169 4.660 4.549 -5.305 1.148
P54277 3.375 3.420 -3.827 0.687
P54406 3.855 3.971 -5.025 1.574
P55921 4.515 4.556 -5.972 1.274
P56250 3.714 3.900 -5.758 0.683
P56257 4.692 5.019 -6.496 0.778
P56264 4.728 5.036 -6.896 0.723
P57300 4.539 4.429 -5.911 2.088
P58306 4.982 5.015 -5.527 1.083
P59060 4.963 4.779 -5.015 0.930
P60390 4.733 4.797 -3.903 1.012
P60443 3.573 3.434 -3.294 0.909
P60858 4.557 4.608 -5.102 0.885
P60864 4.767 4.760 -5.057 0.791
P60865 4.578 4.874 -4.960 1.178
P60867 4.601 4.662 -5.002 1.392
P60869 4.576 4.743 -4.932 0.733
P60878 4.491 4.922 -5.336 1.209
P60881 4.524 4.572 -4.540 1.244
P60885 4.469 4.470 -4.917 0.998
P60891 4.594 4.620 -5.113 0.741
P61241 4.442 4.391 -5.177 1.080
P64483 4.799 5.012 -5.394 1.214
P65060 4.741 4.854 -5.947 1.021
P65140 4.295 4.365 -5.009 1.416
P65141 4.390 4.178 -5.042 1.686
P65868 4.067 3.931 -3.837 1.636
P65875 4.023 4.051 -4.277 1.368
P65947 4.038 4.348 -5.714 1.458
P66377 4.789 4.917 -5.361 1.192
P68463 5.911 5.821 -6.840 0.747
P68467 6.107 5.932 -6.994 0.756
P68471 6.092 5.786 -7.230 1.101
P68476 6.139 5.773 -7.085 0.921
P68480 5.650 5.320 -7.849 0.840
P68485 6.042 5.904 -9.570 0.478
P68487 5.637 5.221 -7.761 1.380
P68488 6.160 6.007 -7.882 1.310
P68492 6.043 5.865 -7.039 0.656
P68495 5.956 5.236 -8.033 1.229
P68505 5.883 5.680 -9.677 0.328
P68506 5.808 5.501 -8.667 1.373
P68507 6.093 5.628 -9.156 0.425
P68511 5.907 5.591 -7.997 1.526
P68513 6.110 5.628 -7.542 0.824
P68515 5.874 5.639 -7.796 0.410
P68519 6.058 5.422 -9.242 1.102
P68526 6.181 5.780 -7.289 1.107
P68531 5.820 5.457 -9.262 0.698
P68536 6.227 5.533 -7.819 1.463
P68539 5.029 4.536 -5.379 1.880
P68542 5.421 4.863 -5.442 2.500
P68543 5.495 5.202 -5.710 0.467
P68544 5.714 5.934 -6.853 0.845
P68545 5.613 4.963 -6.547 0.956
P68547 5.290 5.199 -5.544 1.700
P68552 5.217 5.296 -5.686 0.419
P68554 4.811 5.113 -5.424 0.751
P68556 5.051 5.228 -6.069 0.783
P68558 4.697 4.976 -4.855 1.217
P68559 5.157 5.184 -5.546 0.811
P68560 4.286 4.534 -4.318 2.986
P68561 4.606 5.085 -4.928 1.533
P68563 4.827 4.743 -5.437 0.855
P68564 5.146 5.044 -5.887 0.827
P68567 5.094 5.206 -5.573 0.817
P68571 5.411 5.435 -5.956 0.945
P68575 5.256 5.278 -6.008 1.032
P68579 5.159 5.182 -6.530 0.949
P68587 4.746 4.638 -4.669 2.057
P68590 5.095 5.184 -5.775 1.528
P68597 4.551 4.272 -4.694 1.570
P68601 5.283 5.374 -5.794 1.191
P68606 5.004 4.959 -6.273 1.237
P68608 5.186 5.095 -5.744 1.541
P68609 5.037 5.294 -5.098 1.240
P68610 5.377 5.575 -5.696 1.569
P68611 5.305 5.327 -5.558 1.124
P68612 5.208 5.230 -5.976 1.166
P68613 5.242 5.334 -5.412 1.433
P68614 5.099 5.200 -5.222 1.123
P68618 5.023 5.500 -5.670 0.963
P68620 5.293 5.164 -5.186 0.990
P68622 5.203 5.206 -6.228 1.315
P68623 5.077 5.227 -5.753 0.874
P68629 4.805 5.182 -5.368 0.697
P68630 4.668 4.327 -4.519 1.875
P68639 5.114 5.106 -5.739 0.452
P68640 5.027 5.108 -5.628 0.692
P68641 4.564 5.224 -5.359 0.943
P68642 4.888 4.804 -4.768 0.890
P68644 5.286 5.011 -5.103 0.727
P68645 5.326 5.388 -5.913 1.187
P68647 5.148 5.228 -5.072 0.585
P68651 5.108 4.926 -5.282 0.579
P68654 5.238 5.024 -6.477 1.297
P68655 5.285 5.096 -5.878 1.181
P68657 5.027 4.835 -5.265 0.951
P68658 5.221 5.253 -6.172 0.754
