name,gnina_score,gnina_score_min,smina_score_min,min_rmsd,
P341,5.998,5.979,-7.791,0.318
P342,4.067,4.034,-5.482,0.432
P343,4.280,4.227,-4.773,0.818
P345,4.309,4.253,-5.754,0.432
P347,3.738,3.613,-4.756,0.549
P349,5.363,5.114,-6.196,1.093
P351,5.688,5.408,-7.124,0.564
P352,5.446,5.279,-5.524,0.393
P358,5.560,5.456,-6.978,0.392
P370,4.411,4.197,-4.678,0.768
P391,5.245,5.093,-8.292,0.426
P395,6.114,5.994,-7.890,0.782
P396,5.134,5.246,-7.640,0.821
P399,5.334,5.399,-7.191,0.522
P402,5.479,5.449,-8.571,1.165
P404,5.475,5.104,-6.166,0.634
P418,5.873,5.936,-7.761,0.573
P428,5.522,5.477,-8.000,0.790
P430,6.395,5.785,-6.193,1.463
P431,5.055,4.985,-7.546,0.233
P432,5.279,5.467,-7.859,0.829
P459,6.152,6.246,-8.077,1.095
P467,5.244,5.099,-7.732,0.493
P472,4.396,4.657,-4.436,1.042
P477,4.356,4.331,-4.685,0.879
P478,4.379,4.486,-4.772,0.353
P533,5.860,5.904,-9.236,0.396
P583,5.612,5.665,-8.934,0.270
P604,5.680,5.820,-8.567,0.529
P689,4.413,4.543,-5.039,0.758
P695,4.570,4.570,-7.797,0.416
P704,5.219,5.195,-7.169,0.425
P710,4.645,4.593,-6.594,0.283
P711,5.760,5.520,-6.304,0.827
P719,6.270,6.279,-6.478,0.959
P720,6.358,6.223,-6.005,1.842
P723,5.974,5.972,-6.968,0.703
P726,5.711,5.778,-7.682,0.469
P730,5.683,5.682,-7.001,0.708
P734,6.284,6.190,-8.772,3.508
P739,6.116,5.906,-7.993,0.399
P743,6.469,6.487,-7.557,0.660
P745,5.922,5.788,-8.077,0.331
P749,5.438,5.332,-7.162,1.117
P755,5.394,5.329,-8.481,0.312
P758,5.255,5.065,-7.025,0.819
P760,5.893,5.818,-7.689,0.281
P766,5.988,5.993,-8.681,0.414
P767,5.026,5.086,-6.070,0.341
P769,6.320,6.329,-8.752,0.283
P773,6.314,6.239,-8.050,0.488
P781,5.601,5.552,-6.627,1.038
P789,5.293,5.061,-6.417,0.473
P791,5.794,5.823,-6.819,1.063
P795,6.749,6.443,-8.837,1.052
P797,6.010,5.803,-7.587,0.715
P798,5.752,5.607,-6.503,0.863
P906,6.130,5.901,-8.824,0.474
P907,6.050,5.889,-8.169,0.480
P950,6.645,6.716,-8.208,0.735
P1036,4.662,4.708,-5.884,1.458
P1041,5.245,5.342,-6.500,0.763
P1063,6.340,6.214,-7.335,1.105
P1064,6.084,6.118,-7.703,0.531
P1066,6.234,6.320,-8.648,0.399
P1067,5.651,5.677,-7.643,0.566
P1075,6.458,6.440,-7.408,1.247
P1083,5.910,5.762,-7.467,1.225
P1084,6.402,6.146,-7.670,1.167
P1118,6.086,5.923,-6.143,0.669
P1119,6.296,6.295,-7.544,0.522
P1120,5.920,5.987,-8.256,0.337
P1121,6.384,6.098,-6.957,1.370
P1122,6.135,6.165,-7.997,0.355
P1123,5.854,5.526,-5.837,1.636
P1124,6.014,5.851,-7.744,0.956
P1125,6.102,6.089,-7.774,0.615
P1128,5.638,5.836,-8.893,0.973
P1131,6.372,6.281,-8.170,0.570
P1134,5.925,6.117,-8.418,0.897
P1139,6.179,6.209,-7.862,0.920
P1140,6.200,6.135,-7.538,0.618
P1143,6.289,6.243,-6.252,0.500
P1144,5.854,5.736,-8.231,1.149
P1145,5.597,5.513,-7.510,0.725
P1152,6.429,6.032,-7.613,0.971
P1157,5.689,5.366,-7.957,1.391
P1159,6.456,6.248,-6.755,1.601
P1162,5.657,5.523,-7.535,0.717
P1172,5.680,5.707,-8.853,1.273
P1173,6.286,6.360,-9.168,1.299
P1174,6.257,6.354,-10.380,0.972
P1179,6.139,5.985,-7.966,1.327
P1180,6.381,6.261,-7.451,1.331
P1183,6.023,6.173,-8.392,0.918
P1184,6.056,6.137,-8.759,0.709
P1186,6.081,6.110,-7.758,0.595
P1187,6.180,6.181,-8.472,0.687
P1188,6.099,6.219,-7.757,0.966
P1189,5.767,5.479,-7.124,1.306
P1190,6.196,6.359,-8.416,0.505
P1198,6.186,6.116,-7.382,0.308
P1208,6.039,6.299,-8.979,0.485
P1209,5.961,6.021,-8.088,0.491
P1211,5.810,5.747,-7.405,0.361
P1226,6.050,6.166,-7.924,0.480
P1251,5.402,5.274,-6.785,0.726
P1261,5.133,5.199,-6.860,0.533
P1266,5.931,6.091,-7.376,0.584
P1271,6.673,6.504,-7.262,0.687
P1278,6.061,5.810,-6.498,1.056
P1279,6.021,6.120,-7.573,0.473
P1317,6.691,6.654,-8.867,0.520
P1318,6.554,6.484,-8.670,1.739
P1319,5.347,5.165,-6.575,0.534
P1348,6.492,6.389,-8.698,0.357
P1396,5.416,5.409,-7.537,0.709
P1397,5.996,6.285,-8.433,2.984
P1407,5.417,5.816,-7.019,1.287
P1416,6.659,6.653,-9.069,0.505
P1427,5.946,6.007,-7.558,0.527
P1428,5.425,5.442,-6.553,0.100
P1445,5.535,5.889,-7.709,0.725
P1448,6.303,6.161,-7.534,0.433
P1450,5.729,5.743,-7.972,0.565
P1459,5.481,5.530,-8.896,0.263
P1473,6.406,6.547,-8.601,0.512
P1477,5.701,5.686,-8.962,0.320
P1484,5.315,5.431,-7.432,0.696
P1539,5.800,5.901,-7.986,1.532
P1540,5.193,5.292,-7.333,0.966
P1544,6.717,6.783,-8.511,0.877
P1555,6.139,6.161,-7.213,0.527
P1571,5.962,5.911,-8.837,0.391
P1574,5.903,6.142,-8.062,1.805
P1576,6.604,6.590,-7.891,0.255
P1577,6.415,6.436,-7.702,0.773
P1579,5.323,5.306,-6.085,1.096
P1588,6.304,6.041,-7.575,0.797
P1593,5.935,5.861,-7.226,0.610
P1607,6.355,6.441,-7.771,0.679
P1608,6.228,6.139,-8.682,0.798
P1613,5.984,5.699,-7.736,1.394
P1615,6.113,6.292,-9.671,0.832
P1623,6.159,6.020,-8.338,0.907
P1629,6.317,6.237,-8.472,0.376
P1638,7.058,7.327,-7.978,1.188
P1639,5.826,5.900,-8.043,0.821
P1648,6.266,6.278,-7.687,0.878
P1657,5.244,5.305,-1.556,0.352
P1734,5.679,5.800,-6.504,0.661
P1860,5.498,5.136,-6.817,1.316
P1861,6.090,6.257,-7.272,0.765
P1873,5.361,5.268,-6.392,0.493
P2008,6.324,6.465,-8.935,0.415
P2010,6.566,6.580,-9.093,0.887
P2011,5.902,6.046,-8.649,1.437
P2017,6.048,5.992,-8.949,0.553
P2018,5.291,5.427,-8.089,2.376
P2020,5.405,5.551,-8.326,0.357
P2026,6.543,6.493,-8.556,0.619
P2029,6.219,6.660,-8.249,1.074
P2038,5.636,5.648,-8.746,0.669
P2057,5.546,5.428,-7.780,0.441
P2169,4.953,4.511,-6.922,0.649
P2288,5.626,5.837,-8.084,0.868
P2294,6.054,5.610,-7.040,1.443
P2303,6.102,5.596,-7.374,0.675
P2310,6.070,6.131,-7.956,0.745
P2318,6.931,6.806,-8.368,0.815
P2319,6.061,5.716,-7.360,1.258
P2345,6.061,6.141,-8.261,0.733
P2350,6.355,5.889,-7.186,1.399
P2471,3.266,3.167,-5.212,0.620
P2573,5.384,5.616,-7.379,0.610
P2590,5.502,4.924,-5.772,1.226
P2593,5.414,5.304,-7.715,0.598
P2594,6.080,5.934,-7.785,0.886
P2596,5.336,4.854,-4.173,2.055
P2620,4.190,4.370,-5.191,1.000
P2660,6.351,6.319,-7.641,1.042
P2694,6.624,6.559,-7.981,0.780
P2729,6.036,6.003,-7.740,1.004
P2730,5.431,5.165,-7.731,2.357
P2733,5.624,5.651,-6.964,1.688
P2737,5.843,5.953,-7.022,0.993
P2738,5.784,5.623,-8.025,0.610
P2747,5.870,5.891,-8.265,0.865
P2799,5.515,5.506,-8.247,0.626
P2800,5.967,5.947,-6.852,0.657
P2801,6.151,6.450,-8.307,1.156
P2831,5.551,5.660,-7.741,0.450
P2840,5.983,6.026,-6.792,1.121
P2846,5.990,5.976,-6.047,0.558
P2856,5.174,5.167,-7.082,0.713
P2857,5.178,5.156,-7.008,0.394
P2865,5.291,5.067,-6.435,0.665
P2916,4.059,3.972,-4.753,0.593
P2983,5.805,5.714,-5.940,0.807
P2984,5.754,5.586,-5.957,0.749
P2990,5.578,5.680,-8.269,1.444
P2991,5.144,5.078,-5.321,0.580
P2992,5.195,5.636,-6.399,0.344
P2997,5.773,5.835,-8.007,0.615
P3317,4.400,4.399,-5.432,1.147
P3371,5.644,5.641,-8.005,0.410
P3373,5.098,5.068,-7.505,0.757
P3437,3.678,3.421,-3.581,0.806
P3495,4.995,4.937,-7.441,0.898
P3534,5.820,5.655,-8.001,0.596
P3669,5.464,5.493,-8.416,0.066
P3756,5.299,5.436,-8.571,0.819
P3795,4.934,4.782,-6.734,0.459
P3810,4.432,4.345,-5.569,0.363
P3811,3.577,3.595,-4.474,0.507
P3816,3.304,3.305,-4.484,0.401
P4273,3.931,3.813,-4.954,0.902
P4313,3.671,3.666,-4.214,0.859
P4322,4.078,3.590,-3.697,2.456
P4330,4.030,4.245,-5.546,1.470
P4384,4.944,4.697,-6.010,0.642
P4423,5.234,5.294,-6.587,0.614
P4691,5.078,5.225,-6.934,0.820
P4693,5.059,5.003,-7.017,1.165
P4724,5.515,5.473,-7.573,0.585
P4764,5.712,5.795,-7.585,1.128
P4911,5.195,4.845,-6.069,1.182
P5034,4.470,4.547,-5.632,0.788
P5576,5.680,5.630,-7.310,0.720
P5988,6.126,6.080,-8.363,0.630
P6018,4.530,4.617,-5.519,0.806
P6035,5.084,5.159,-7.854,0.698
P6615,4.870,4.894,-6.605,1.932
P6738,5.087,4.945,-7.856,0.615
P6749,5.334,5.457,-8.147,0.736
P6834,5.406,5.280,-7.391,0.492
P6845,3.261,3.268,-4.540,0.708
P7018,2.940,2.810,-2.547,0.887
P7197,5.964,5.980,-8.048,0.393
P7220,5.960,5.774,-6.788,0.589
P7236,4.930,5.149,-9.045,0.743
P8116,5.816,6.186,-8.094,0.804
P8158,5.854,5.732,-6.406,1.187
P8317,6.273,6.428,-7.339,0.676
P8322,5.524,5.663,-7.224,1.160
P8323,5.690,5.851,-7.574,0.560
P8333,5.668,5.495,-6.828,0.888
P8336,5.754,5.709,-7.867,0.675
P8337,6.751,6.603,-7.316,1.000
P8342,5.988,5.980,-8.106,1.256
P8343,5.842,5.907,-8.824,1.407
P8351,5.793,5.048,-6.998,1.939
P8359,6.204,6.140,-7.212,0.663
P8362,5.846,5.984,-7.165,0.421
P8383,5.934,5.944,-7.068,0.594
P8396,5.528,5.416,-6.768,0.705
P8423,6.032,6.064,-7.445,0.715
P8637,6.246,6.094,-7.052,0.387
P8811,4.943,4.962,-7.158,0.501
P8890,5.979,5.798,-7.502,0.501
P8891,5.991,6.032,-7.811,0.651
P8893,6.095,5.815,-6.644,0.686
P8907,5.932,5.914,-7.348,0.342
P8920,5.833,6.042,-7.945,0.594
P8923,5.814,5.732,-7.070,0.426
P8924,5.968,6.003,-7.338,0.796
P9086,6.281,6.285,-8.040,0.541
P9091,5.872,5.978,-7.354,0.951
P9115,6.424,6.266,-7.858,0.625
P9142,6.078,6.270,-7.997,0.730
P9212,5.457,5.637,-7.772,0.667
P9217,5.463,5.663,-7.626,0.766
P9223,5.964,6.426,-8.795,0.737
P9224,5.946,6.164,-9.655,0.434
P9225,5.916,6.209,-8.497,0.456
P9239,6.472,6.557,-11.107,0.243
P9248,6.767,6.812,-10.481,0.377
P9250,6.184,6.177,-8.434,0.574
P9251,6.714,6.706,-7.867,0.456
P9252,6.260,6.259,-7.603,0.409
P9255,6.550,6.628,-9.444,0.405
P9257,6.184,6.438,-8.107,1.100
P9258,6.199,6.275,-9.392,0.400
P9259,6.116,6.230,-9.078,0.525
P9260,7.262,7.321,-9.485,0.800
P9261,6.728,7.181,-9.431,0.711
P9262,6.528,6.772,-9.116,0.436
P9269,6.331,6.434,-8.782,0.344
P9270,6.200,6.410,-9.715,0.306
P9273,6.408,6.696,-8.871,0.463
P9276,6.345,6.547,-7.306,0.577
P9278,6.063,6.389,-9.579,0.582
P9280,6.293,6.556,-9.927,0.628
P9281,6.405,6.184,-7.720,0.571
P9283,7.200,7.361,-8.966,0.672
P9284,6.249,6.658,-8.262,0.535
P9285,5.970,6.195,-9.206,0.350
P9287,6.261,6.374,-9.056,0.553
P9288,6.320,6.471,-8.543,0.384
P9289,6.459,6.380,-9.254,0.493
P9290,6.423,6.441,-8.873,0.420
P9292,6.247,6.533,-9.539,0.727
P9293,6.426,6.851,-8.734,0.968
P9295,6.593,6.788,-9.018,0.338
P9296,6.224,6.341,-9.854,0.267
P9297,6.573,6.721,-9.092,0.290
P9298,6.288,6.546,-7.970,0.420
P9300,6.780,6.878,-9.214,0.509
P9301,6.646,6.812,-9.183,0.415
P9327,5.532,5.702,-7.405,1.270
P9343,5.247,5.324,-7.508,1.094
P9366,5.819,5.984,-7.948,0.640
P9369,5.849,5.941,-7.272,0.981
