smiles,0,1
c1cncc(C2CCCCN2)c1,Z0182a,Z1274a
c1cncc(N2CCCCC2)c1,Z0182a,Z1274a
c1cncc(C2CCCNC2)c1,Z0182a,Z1274a
c1cncc(C2CCNCC2)c1,Z0182a,Z1274a
CCC(C)C(=O)NCC(=O)N1CCCC(NC(=O)c2cccnc2)C1,Z0182a,Z1274a
CCCC(C)CN(C)C(=O)C(=O)N1CCCCC1c1cccnc1,Z0182a,Z1274a
CC(NC(=O)Cc1cccnc1)C1CCN(c2ncccn2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(CC(O)c2cccnc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)CCC(=O)c2cccnc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)c2cccnc2)CC1,Z0182a,Z1274a
CSC(C)C(=O)N1CCC(C(C)NC(=O)Cc2cccnc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)NCCc2cccnc2)CC1,Z0182a,Z1274a
CC(C)C(=O)N1CCC(C(C)NC(=O)Cc2cccnc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(CCCc2cccnc2)CC1,Z0182a,Z1274a
COCC(=O)N1CCC(C(C)NC(=O)Cc2cccnc2)CC1,Z0182a,Z1274a
CC(NC(=O)Cc1cccnc1)C1CCN(C(=O)CC#N)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(c2nc(-c3cccnc3)cs2)CC1,Z0182a,Z1274a
COC(C)C(=O)N1CCC(C(C)NC(=O)Cc2cccnc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)Cc2cccnc2)CC1,Z0182a,Z1274a
CC(NC(=O)Cc1cccnc1)C1(O)CCNCC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)C(C)=Cc2cccnc2)CC1,Z0182a,Z1274a
C(#CC1CCNCC1)Cc1cccnc1,Z0182a,Z1274a
OC1(C#CCc2cccnc2)CCNCC1,Z0182a,Z1274a
CC(C#N)CNC(=O)C1CCCCN1Cc1cccnc1,Z0182a,Z1274a
CC(CF)C(=O)N(C)CC1CCCCN1C(=O)c1cccnc1,Z0182a,Z1274a
CC(=CC(=O)NCCC1CCN(C)CC1)c1cccnc1,Z0182a,Z1274a
c1cncc(CC2CCCN(C3CCCc4cccnc43)C2)c1,Z0182a,Z1274a
CC(C)SCC(=O)NCCC1CCN(C(=O)c2cccnc2)CC1,Z0182a,Z1274a
CC(C)C(CO)NC(=O)C1CCCN(Cc2cccnc2)C1,Z0182a,Z1274a
CCCC(OCC)C(=O)NC1CCCN(C(=O)c2cccnc2)C1,Z0182a,Z1274a
CN(C(=O)CCNC(N)=O)C1CCN(C(=O)c2cccnc2)CC1,Z0182a,Z1274a
CON=CC(=O)N1CCC(Cc2cccnc2)CC1,Z0182a,Z1274a
CON=CC(=O)N1CCC(C(=O)NCc2cccnc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)(C(=O)N1CCC(c2cccnc2)CC1)C(C)C,Z0182a,Z1274a
CN(C)C1CCN(CC(=O)NCC=Cc2cccnc2)CC1,Z0182a,Z1274a
C=CCNC(=O)CN1CCC(C(=O)Nc2cccnc2)CC1,Z0182a,Z1274a
C=CCNC(=O)CN1CCC(O)(c2cccnc2)CC1,Z0182a,Z1274a
O=C(CN1CCC(CO)CC1)NCC=Cc1cccnc1,Z0182a,Z1274a
CC1CCN(CC(=O)NCC=Cc2cccnc2)CC1,Z0182a,Z1274a
C=CC(C)ONC(=O)N1CCC(Nc2cccnc2)CC1,Z0182a,Z1274a
O=C(C=Cc1ccccc1)NC(=S)N1CCCCC1c1cccnc1,Z0182a,Z1274a
O=C(C=Cc1cccs1)NC(=S)N1CCCCC1c1cccnc1,Z0182a,Z1274a
CC(C)C(C)C(=O)N(C)C1CCN(C(=O)c2cccnc2)CC1,Z0182a,Z1274a
c1cncc(C2CCCN(c3cncc4ncnn34)C2)c1,Z0182a,Z1274a
CN(C(=O)CNC(=O)c1cccnc1)C1CCNCC1,Z0182a,Z1274a
CCCN1CCC(N(C)C(=O)CNC(=O)c2cccnc2)CC1,Z0182a,Z1274a
CC(C)(CCl)C(=O)N1CCC(F)(c2cccnc2)CC1,Z0182a,Z1274a
CC(NCC(C)N(C)C(=O)c1cccnc1)C(=O)N1CCCCC1,Z0182a,Z1274a
CC1CCN(C(=O)C(C)NCC(C)N(C)C(=O)c2cccnc2)CC1,Z0182a,Z1274a
CCCCC(=O)NCC1CCN(Cc2cccnc2)CC1,Z0182a,Z1274a
c1cc(C2CCCCN2)ccn1,Z0182a,Z1274a
c1cc(N2CCCCC2)ccn1,Z0182a,Z1274a
c1cc(C2CCNCC2)ccn1,Z0182a,Z1274a
c1cc(C2CCCNC2)ccn1,Z0182a,Z1274a
CCC(C)C(=O)NCC(=O)N1CCC(Cc2ccncc2)CC1,Z0182a,Z1274a
CC1CCCN(C(=O)NCCCNc2ccncc2)C1,Z0182a,Z1274a
CC(NC(=O)C=Cc1ccncc1)C1CCNCC1,Z0182a,Z1274a
CC(NC(=O)Cc1ccncc1)C1CCNCC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)CCCc2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(S(=O)(=O)Cc2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)C(F)(F)c2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)c2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(CC=Cc2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)C(C)Cc2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(CCCc2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)COCc2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)Nc2ccncc2)CC1,Z0182a,Z1274a
CC(NC(=O)C(c1ccncc1)C1CCCC1)C1CCNCC1,Z0182a,Z1274a
CC(NC(=O)Cc1ccncc1)C1CCN(CC(F)(F)F)CC1,Z0182a,Z1274a
CC(NC(=O)Cc1ccncc1)C1CCN(C)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)C(C)c2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)CN(C)c2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)Cc2ccncc2)CC1,Z0182a,Z1274a
CC(=O)NC(C)C1CCN(C(=O)C(C)=Cc2ccncc2)CC1,Z0182a,Z1274a
C(#CC1CCNCC1)Cc1ccncc1,Z0182a,Z1274a
OC1(C#CCc2ccncc2)CCNCC1,Z0182a,Z1274a
CC(C#N)CNC(=O)C1CCCCN1Cc1ccncc1,Z0182a,Z1274a
CC(CF)C(=O)N(C)CC1CCCCN1C(=O)c1ccncc1,Z0182a,Z1274a
COCCC(O)CNCC1CCN(Cc2ccncc2)CC1,Z0182a,Z1274a
CC(C)(C)OC(=O)COCC(=O)N1CCCC(c2ccncc2)C1,Z0182a,Z1274a
CC(C)SCC(=O)NCCC1CCN(c2ccncc2)CC1,Z0182a,Z1274a
CC(C)C(CO)NC(=O)C1CCCN(C(=O)c2ccncc2)C1,Z0182a,Z1274a
CCCC(OCC)C(=O)NC1CCCN(C(=O)c2ccncc2)C1,Z0182a,Z1274a
CN(C(=O)CCNC(N)=O)C1CCN(C(=O)c2ccncc2)CC1,Z0182a,Z1274a
CON=CC(=O)N1CCC(c2nc(-c3ccncc3)cs2)CC1,Z0182a,Z1274a
CC(=O)NC(C)(C(=O)N1CCC(c2ccncc2)CC1)C(C)C,Z0182a,Z1274a
CC(=O)NC(C)(C(=O)N1CCCC(c2ccncc2)C1)C(C)C,Z0182a,Z1274a
C=CCNC(=O)CN1CCCC(c2ccncc2)C1,Z0182a,Z1274a
C=CC(C)ONC(=O)N1CCC(Cc2ccncc2)CC1,Z0182a,Z1274a
BrC=CCNC1CCN(Cc2ccncc2)CC1,Z0182a,Z1274a
CC(C)C(C)C(=O)N(C)C1CCN(C(=O)c2ccncc2)CC1,Z0182a,Z1274a
O=S(=O)(NCC1CCN(c2ccncc2)CC1)C(Cl)Cl,Z0182a,Z1274a
c1cc(C2CCCN(c3cncc4ncnn34)C2)ccn1,Z0182a,Z1274a
CCOCCS(=O)(=O)NC1CCN(Cc2ccncc2)CC1,Z0182a,Z1274a
CC(C)N1CCC(N(C)C(=O)CNC(=O)c2ccncc2)CC1,Z0182a,Z1274a
CC(C)(CCl)C(=O)N1CCC(c2ccncc2)CC1,Z0182a,Z1274a
CC(NCC(C)N(C)C(=O)c1ccncc1)C(=O)N1CCCCC1,Z0182a,Z1274a
CC1CCN(C(=O)C(C)NCC(C)N(C)C(=O)c2ccncc2)CC1,Z0182a,Z1274a
CCON(C)C(=O)NCCC1CCN(c2ccncc2)CC1,Z0182a,Z1274a
CCCCC(=O)NCC1CCN(C(=O)CCc2ccncc2)CC1,Z0182a,Z1274a
c1cncc(-c2ccc3c(c2)CNC3)c1,Z0852a,Z3527a
c1ccc(-c2ccc3c(c2)CNC3)nc1,Z0852a,Z3527a
c1cc(-c2ccc3c(c2)CNC3)ccn1,Z0852a,Z3527a
Clc1cnccc1NCc1ccc2c(c1)CNC2,Z0852a,Z3527a
Cc1cc(NCc2ccc3c(c2)CNC3)ccn1,Z0852a,Z3527a
CCc1ccnc(-c2noc(-c3ccc4c(c3)CNC4)n2)c1,Z0852a,Z3527a
O=C(Nc1ccc(N2CCCC2)nc1)c1ccc2c(c1)CNC2,Z0852a,Z3527a
O=C(Nc1ccc2c(c1)CNC2)c1cccnc1N1CCCC1,Z0852a,Z3527a
c1cc(-n2cc(-c3ccc4c(c3)CNC4)cn2)ccn1,Z0852a,Z3527a
O=C(NCc1ccc2c(c1)CNC2)c1ccn(-c2ccncc2)n1,Z0852a,Z3527a
CN(CC(=O)Nc1ccc2c(c1)CNC2)S(=O)(=O)c1cccnc1,Z0852a,Z3527a
CC(C)(C)c1cncc(C(=O)Nc2ccc3c(c2)CNC3)c1,Z0852a,Z3527a
CC(C)Cc1ccnc(NC(=O)c2ccc3c(c2)CNC3)c1,Z0852a,Z3527a
CC(NC(=O)c1ccc2c(c1)CNC2)c1ccncc1,Z0852a,Z3527a
CC(NC(=O)c1ccc2c(c1)CNC2)c1ccncc1F,Z0852a,Z3527a
CC(CNC(=O)c1ccc2c(c1)CNC2)c1ccccn1,Z0852a,Z3527a
CCSc1cnccc1C(=O)NCc1ccc2c(c1)CNC2,Z0852a,Z3527a
O=C(NCc1ccc2c(c1)CNC2)NCC(O)c1ccncc1,Z0852a,Z3527a
CC(C)(CNC(=O)C(=O)Nc1ccc2c(c1)CNC2)c1ccc(F)cn1,Z0852a,Z3527a
O=C(NCCOc1cccnc1)NCc1ccc2c(c1)CNC2,Z0852a,Z3527a
N#Cc1ccc(C(=O)Nc2ccc3c(c2)CNC3)nc1,Z0852a,Z3527a
N#Cc1ccc(CNC(=O)Nc2ccc3c(c2)CNC3)nc1,Z0852a,Z3527a
N#Cc1cncc(S(=O)(=O)NC(=O)c2ccc3c(c2)CNC3)c1,Z0852a,Z3527a
Cc1cccnc1S(=O)(=O)NCc1ccc2c(c1)CNC2,Z0852a,Z3527a
O=S(=O)(NCc1ccc2c(c1)CNC2)c1cccc(CO)n1,Z0852a,Z3527a
COc1ccnc(S(=O)(=O)NCc2ccc3c(c2)CNC3)c1,Z0852a,Z3527a
Nc1cccnc1S(=O)(=O)NCc1ccc2c(c1)CNC2,Z0852a,Z3527a
Cc1cccnc1CC(N)C(=O)NCc1ccc2c(c1)CNC2,Z0852a,Z3527a
c1cncc(OCc2ccc3c(c2)CNC3)c1,Z0852a,Z3527a
COc1ccc(C(=O)NCc2ccc3c(c2)CNC3)nc1,Z0852a,Z3527a
COc1cccnc1CNC(=O)c1ccc2c(c1)CNC2,Z0852a,Z3527a
COc1cnccc1-c1noc(-c2ccc3c(c2)CNC3)n1,Z0852a,Z3527a
COc1cncc(C(=O)Nc2ccc3c(c2)CNC3)c1,Z0852a,Z3527a
COc1cccnc1S(=O)(=O)NC(=O)c1ccc2c(c1)CNC2,Z0852a,Z3527a
COc1ccc(CC(=O)NCc2ccc3c(c2)CNC3)nc1,Z0852a,Z3527a
CC(C(=O)NCc1ccc2c(c1)CNC2)c1ncccc1F,Z0852a,Z3527a
CN(C)c1ccc(NC(=O)c2ccc3c(c2)CNC3)nc1,Z0852a,Z3527a
CC(F)(F)c1ccc(NC(=O)c2ccc3c(c2)CNC3)nc1,Z0852a,Z3527a
Nc1cccc(NC(=O)c2ccc3c(c2)CNC3)n1,Z0852a,Z3527a
CCSCc1ccnc(NC(=O)c2ccc3c(c2)CNC3)c1,Z0852a,Z3527a
O=C(Nc1cccc(C(F)F)n1)c1ccc2c(c1)CNC2,Z0852a,Z3527a
COc1cccc(NC(=O)c2ccc3c(c2)CNC3)n1,Z0852a,Z3527a
