target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C70416,1,,,,Cc1nc2cc(O)ccc2n1C,CC(C)CCNC(=O)CCl,Cc1nc2cc(OCC(=O)NCCC(C)C)ccc2n1C,Williamson_ether_synthesis,,,
C9946,1,,,,CC1(C)OB(C2CCNCC2)OC1(C)C,Ic1cccc2[nH]ccc12,c1cc(C2CCNCC2)c2cc[nH]c2c1,Sp3-sp2_Suzuki_coupling,,,
C48859,1,,,,Sc1ccccn1,CC(Cl)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,CC(Sc1ccccn1)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,Nucleophilic_substitution_with_thiol,,,
C74617,1,,,,CC(C)N,Brc1nnc2ccccn12,CC(C)Nc1nnc2ccccn12,N-nucleophilic_aromatic_substitution,,,
C3992,1,,,,OB(O)c1cccc2cccnc12,CNCc1cscn1,CN(Cc1cscn1)S(=O)(=O)c1cccc2cccnc12,Formation_of_sulfonamide_from_boronic_and_amine,,,
C62098,1,,,,CCOCCCN=C=O,CC(N)C(=O)N1Cc2ccccc2C1,CCOCCCNC(=O)NC(C)C(=O)N1Cc2ccccc2C1,Isocyanate_to_urea,,,
C48044,1,,,,CC(O)C(N)=O,Cc1ccc(O)c(N)n1,Cc1ccc(OC(C)C(N)=O)c(N)n1,Mitsunobu_aryl_ether_synthesis,,,
C53862,1,,,,CC(C)(C)OC(=O)N1CCNCC1c1cccnc1,,c1cncc(C2CNCCN2)c1,N-Boc_deprotection,,,
C3857,1,,,,COC(=O)c1ccc2c(c1)CNC2,Cc1n[nH]c2ncc(N)cc12,Cc1n[nH]c2ncc(NC(=O)c3ccc4c(c3)CNC4)cc12,Ester_amidation,,,
C5838,1,,,,CNCc1ccccn1,O=C(NCCO)c1cccnc1,CN(CCNC(=O)c1cccnc1)Cc1ccccn1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,
C11169,1,,,,CC(C)N,Brc1cccc2cc[nH]c12,CC(C)Nc1cccc2cc[nH]c12,Buchwald-Hartwig_amination,,,
C115821,1,,,,CC(=O)NCC1CCCNC1,Brc1ccc2ncsc2c1,CC(=O)NCC1CCCN(S(=O)(=O)c2ccc3ncsc3c2)C1,Formation_of_sulfonamide_from_halide_-_Shavnya_reaction,,,
C67471,1,,,,CC=O,OB(O)c1cccc2cn[nH]c12,CC(NCc1cnc2ccccc2c1)c1cccc2cn[nH]c12,Petasis-borono_Mannich_reaction,,,NCc1cnc2ccccc2c1
C7519,1,,,,OCc1cncs1,O=C(O)COc1ncnc2ccccc12,O=C(COc1ncnc2ccccc12)OCc1cncs1,Steglich_esterification,,,
C17917,1,,,,O=S(=O)(Cl)c1ccc2ncsc2c1,CCN1CCC(NC)CC1,CCN1CCC(N(C)S(=O)(=O)c2ccc3ncsc3c2)CC1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,
C59808,1,,,,c1cncc(C2CCCCN2)c1,,[O-][n+]1cccc(C2CCCCN2)c1,N-oxide_formation,,,
C171,1,,,,NCc1cccc(N)c1,O=C1Cc2c(cccc2C(=O)O)N1,NCc1cccc(NC(=O)c2cccc3c2CC(=O)N3)c1,Amidation,,,
C63027,1,,,,OB(O)c1ccncc1,COCC(N)COC,COCC(COC)Nc1ccncc1,Chan-Lam_coupling_(amination),,,
C13880,1,,,,Brc1ncc[nH]1,COc1nc2ccccc2cc1CCl,COc1nc2ccccc2cc1CS(=O)(=O)c1ncc[nH]1,Formation_of_sulfone_from_halide_-_Shavnya_reaction,,,
C15239,1,,,,NC1CCCNC1,COc1nc2ccccc2cc1C=O,COc1nc2ccccc2cc1CNC1CCCNC1,Reductive_amination,,,
C10692,1,,,,Nc1ccc2[nH]ccc2c1,C1CCN(C2CCNCC2)C1,O=C(Nc1ccc2[nH]ccc2c1)N1CCC(N2CCCC2)CC1,Formation_of_urea_from_two_amines,,,
C76716,1,,,,Cc1cccc(Br)c1,C=CB1OC(C)(C)C(C)(C)O1,C=Cc1cccc(C)c1,Sp2-sp2_Suzuki_coupling,,,
