target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C7563,1,,,,Brc1ncnc2ccccc12,c1csc(C2CNCCO2)n1,c1ccc2c(N3CCOC(c4nccs4)C3)ncnc2c1,N-nucleophilic_aromatic_substitution,,,,,,,,,
C22467,1,,,,NC1CCN(c2ccccn2)C1,COC(=O)c1cccc2c1C1(CCNCC1)C(=O)N2,O=C(NC1CCN(c2ccccn2)C1)c1cccc2c1C1(CCNCC1)C(=O)N2,Ester_amidation,,,,,,,,,
C15670,1,,,,c1cnn(C2CCCNC2)c1,CCC(C)C(=O)NCC(=O)O,CCC(C)C(=O)NCC(=O)N1CCCC(n2cccn2)C1,Amidation,,,,,,,,,
C70416,1,,,,Cc1nc2cc(O)ccc2n1C,CC(C)CCNC(=O)CCl,Cc1nc2cc(OCC(=O)NCCC(C)C)ccc2n1C,Williamson_ether_synthesis,,,,,,,,,
C9946,1,,,,CC1(C)OB(C2CCNCC2)OC1(C)C,Ic1cccc2[nH]ccc12,c1cc(C2CCNCC2)c2cc[nH]c2c1,Sp3-sp2_Suzuki_coupling,,,,,,,,,
C15238,1,,,,NCC1CCCNC1,COc1ccc2cc(C(=O)O)ccc2n1,COc1ccc2cc(C(=O)NCC3CCCNC3)ccc2n1,Amidation,,,,,,,,,
C48859,1,,,,Sc1ccccn1,CC(Cl)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,CC(Sc1ccccn1)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,Nucleophilic_substitution_with_thiol,,,,,,,,,
C10474,1,,,,COc1cnc2ccccc2c1C(=O)O,CNCc1ccncc1,COc1cnc2ccccc2c1C(=O)N(C)Cc1ccncc1,Amidation,,,,,,,,,
C74617,1,,,,CC(C)N,Brc1nnc2ccccn12,CC(C)Nc1nnc2ccccn12,N-nucleophilic_aromatic_substitution,,,,,,,,,
C63872,1,,,,C1CNCCN1,Ic1ncccn1,c1cnc(N2CCNCC2)nc1,N-nucleophilic_aromatic_substitution,,,,,,,,,
C17079,1,,,,O=C(O)c1cc(Br)cc2[nH]cnc12,NCCc1ncc[nH]1,O=C(NCCc1ncc[nH]1)c1cc(Br)cc2[nH]cnc12,Amidation,,,,,,,,,
