target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C142804,1,,,,Nc1ccc2c(c1)CNC2=O,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,O=C(Nc1ccc2c(c1)CNC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Amidation,,
C142805,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Nc1ccc2c(c1)C(=O)NC2,O=C(Nc1ccc2c(c1)C(=O)NC2)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Amidation,,
C142806,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CN1Cc2ccc(N)cc2C1=O,CN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1=O,Amidation,,
C149211,1,,,,CC1CCCn2c(CC(=O)O)cnc21,Fc1cncc(Cl)c1CC1CCCCN1,CC1CCCn2c(CC(=O)N3CCCCC3Cc3c(F)cncc3Cl)cnc21,Amidation,,
C142808,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Nc1cc2c(cc1F)CNC2=O,O=C(Nc1cc2c(cc1F)CNC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Amidation,,
C142809,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CN1Cc2cc(N)ccc2C1=O,CN1Cc2cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc2C1=O,Amidation,,
C142810,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Nc1ccc2c(c1)C(=O)NC2=O,O=C(Nc1ccc2c(c1)C(=O)NC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Amidation,,
C142811,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CN1C(=O)c2ccc(N)cc2C1=O,CN1C(=O)c2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1=O,Amidation,,
C142812,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CN1Cc2cc(N)ccc2C1(C)C,CN1Cc2cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc2C1(C)C,Amidation,,
C142814,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,COCCCN1Cc2ccc(N)cc2C1,COCCCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Amidation,,
C142815,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CCCC(C)N1Cc2ccc(N)cc2C1,CCCC(C)N1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Amidation,,
C142816,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CC(C)CCN1Cc2ccc(N)cc2C1,CC(C)CCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Amidation,,
C142817,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CC(C)C(C)N1Cc2ccc(N)cc2C1,CC(C)C(C)N1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Amidation,,
C142819,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CC(C)(O)CCN1Cc2ccc(N)cc2C1=O,CC(C)(O)CCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1=O,Amidation,,
C142821,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CC(C)c1ccc(N2Cc3ccc(N)cc3C2)cc1,CC(C)c1ccc(N2Cc3ccc(NC(=O)c4ccc5c(c4)C4(CCOCC4)C(=O)N5)cc3C2)cc1,Amidation,,
C142822,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Nc1ccc2c(c1)CN(C1CC(F)CNC1=O)C2=O,O=C(Nc1ccc2c(c1)CN(C1CC(F)CNC1=O)C2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Amidation,,
C142823,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CN1C(=O)CCC(N2Cc3cc(N)ccc3C2=O)C1=O,CN1C(=O)CCC(N2Cc3cc(NC(=O)c4ccc5c(c4)C4(CCOCC4)C(=O)N5)ccc3C2=O)C1=O,Amidation,,
C142825,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CN1C(=O)CCC(N2Cc3ccc(N)cc3C2=O)C1=O,CN1C(=O)CCC(N2Cc3ccc(NC(=O)c4ccc5c(c4)C4(CCOCC4)C(=O)N5)cc3C2=O)C1=O,Amidation,,
C142920,1,,,,CC(C(=O)O)N1CCN(C)CC1,CC1(C)CC(CN)CNC1=O,CC(C(=O)NCC1CNC(=O)C(C)(C)C1)N1CCN(C)CC1,Amidation,,
C142939,1,,,,CN1CCN(C(C)(C)C(=O)O)CC1,CC1(C)CC(CN)CNC1=O,CN1CCN(C(C)(C)C(=O)NCC2CNC(=O)C(C)(C)C2)CC1,Amidation,,
C142949,1,,,,CC(C)C(C(=O)O)N1CCN(C)CC1,CC1(C)CC(CN)CNC1=O,CC(C)C(C(=O)NCC1CNC(=O)C(C)(C)C1)N1CCN(C)CC1,Amidation,,
C142973,1,,,,COC(=O)CN1CCN(CC(=O)O)CC1,O=C1CCC2(CNC2)CN1,COC(=O)CN1CCN(CC(=O)N2CC3(CCC(=O)NC3)C2)CC1,Amidation,,
C142977,1,,,,CC1NC(=O)CCC1CN,CN1CCN(C2(C(=O)O)CCOC2)CC1,CC1NC(=O)CCC1CNC(=O)C1(N2CCN(C)CC2)CCOC1,Amidation,,
