compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
61484,Nc1ccc2c(c1)CNC2,YTIFSHPDDSIFRO-UHFFFAOYSA-N,6.0,50.0,86312,Enamine,EU stock,EN300-106689,106.0,EUR,2,,Cl.Cl.Nc1ccc2c(c1)CNC2,2025-09-29,1,6,6,{'Amidation'},"{933, 3339, 3051, 4751, 1714, 2079}","{193, 5576, 101237, 119, 27833, 18682}"
123049,O=C(O)c1cc(F)cc2[nH]nnc12,UWHVJZFOXUBOHX-UHFFFAOYSA-N,2.0,50.0,83470,Enamine,EU stock,EN300-176585,171.0,EUR,2,,O=C(O)c1cc(F)cc2[nH]nnc12,2025-09-29,1,2,2,{'Amidation'},"{933, 8406}","{139365, 119}"
122834,N#Cc1c[nH]c2c(C(=O)O)cccc12,FDASYGXNFLWEMM-UHFFFAOYSA-N,4.0,50.0,94006,Enamine,EU stock,EN300-1590558,65.0,EUR,2,,N#Cc1c[nH]c2c(C(=O)O)cccc12,2025-09-29,1,4,4,{'Amidation'},"{3051, 13300, 13340, 13335}","{193, 145873, 145836, 145878}"
618,CC(CN)c1ccncc1,PFSHXDJWAVNKNO-UHFFFAOYSA-N,5.0,50.0,95725,Enamine,EU stock,EN300-26677505,190.0,EUR,2,,CC(CN)c1ccncc1.Cl.Cl,2025-09-29,2,5,5,"{'N-nucleophilic_aromatic_substitution', 'Amidation'}","{15651, 15813, 15656, 5074, 15614}","{626, 148853, 148890, 149052, 148895}"
129215,COCc1ccc(Br)nc1,VYADQLKEISKNDT-UHFFFAOYSA-N,1.0,50.0,95818,Enamine,EU stock,EN300-6764593,82.0,EUR,2,,COCc1ccc(Br)nc1,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{5074},{626}
128923,Nc1ccnc2ccccc12,FQYRLEXKXQRZDH-UHFFFAOYSA-N,1.0,100.0,31865,Enamine,Global catalog,EN300-37114,18.0,EUR,10,,Cl.Nc1ccnc2ccccc12,2025-09-29,1,1,1,{'Amidation'},{4914},{784}
128924,CCc1ccnc(C(=O)O)c1,UQLMTCZJAWIPLK-UHFFFAOYSA-N,1.0,50.0,82306,Enamine,EU stock,EN300-125852,20.0,EUR,2,,CCc1ccnc(C(=O)O)c1,2025-09-29,1,1,1,{'Amidation'},{4914},{784}
77344,CNc1ccc2c(c1)CNC2,WHXNAZMBNDOAGR-UHFFFAOYSA-N,1.0,100.0,64307,Enamine,Global catalog,EN300-225138,481.0,EUR,10,,CNc1ccc2c(c1)CNC2.Cl.Cl,2025-09-29,1,1,1,{'Reductive_amination'},{4920},{1906}
128932,O=Cc1ccccn1,CSDSSGBPEUDDEE-UHFFFAOYSA-N,1.0,100.0,54315,Enamine,Global catalog,EN300-18999,18.0,EUR,10,,O=Cc1ccccn1,2025-09-29,1,1,1,{'Reductive_amination'},{4920},{1906}
128533,c1ccc2c(c1)CNC2,GWVMLCQWXVFZCN-UHFFFAOYSA-N,2.0,100.0,59694,Enamine,Global catalog,EN300-50619,18.0,EUR,10,,c1ccc2c(c1)CNC2,2025-09-29,2,2,2,"{'Ester_amidation', 'Amidation'}","{5377, 4789}","{2037, 60966}"
128690,CC(C)(C)OC(=O)C1CCCNC1,RHNAXBBEIVHVQT-UHFFFAOYSA-N,1.0,50.0,97112,Enamine,EU stock,EN300-135456,47.0,EUR,2,,CC(C)(C)OC(=O)C1CCCNC1,2025-09-29,1,1,1,{'Ester_amidation'},{4789},{2037}
