smiles,hit1,hit2,hit3,hit4,hit5
O=C1NCc2cc(NC(=O)c3cc(F)cc4[nH]nnc34)ccc21,Z3093a,Z5348a,,,
O=C(Nc1ccc2c(c1)CN(c1ccccc1)C2)c1cc(F)cc2[nH]nnc12,Z3093a,Z5348a,,,
O=C1NC(=O)c2cc(NC(=O)C3CCN(C(=O)c4cc(F)cc5[nH]nnc45)CC3)ccc21,Z3093a,Z5348a,,,
O=C(c1ccc2c(c1)C1(CCOCC1)C(=O)N2)N1Cc2ccc(NC(=O)C(F)(F)F)cc2C1,Z3622a,Z3677a,,,
CN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Z3677a,Z4590a,,,
O=C(c1ccc2c(c1)C1(CCOCC1)C(=O)N2)N1Cc2ccc(NC(=O)C(F)(F)F)cc2C1,Z3677a,Z4590a,,,
O=C(Nc1ccc2c(c1)CNC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Z3677a,Z4590a,,,
O=C(Nc1ccc2c(c1)C(=O)NC2)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Z3677a,Z4590a,,,
CN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1=O,Z3677a,Z4590a,,,
CN1Cc2ccc(N(C)C(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Z3677a,Z4590a,,,
O=C(Nc1cc2c(cc1F)CNC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Z3677a,Z4590a,,,
CN1Cc2cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc2C1=O,Z3677a,Z4590a,,,
O=C(Nc1ccc2c(c1)C(=O)NC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Z3677a,Z4590a,,,
CN1C(=O)c2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1=O,Z3677a,Z4590a,,,
CN1Cc2cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc2C1(C)C,Z3677a,Z4590a,,,
CC(=O)Nc1ccc2c(c1)CN(C(=O)c1ccc3c(c1)C1(CCOCC1)C(=O)N3)C2,Z3677a,Z4590a,,,
COCCCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Z3677a,Z4590a,,,
CCCC(C)N1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Z3677a,Z4590a,,,
CC(C)CCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Z3677a,Z4590a,,,
CC(C)C(C)N1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Z3677a,Z4590a,,,
CCOCCCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Z3677a,Z4590a,,,
CC(C)(O)CCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1=O,Z3677a,Z4590a,,,
CC(C)(C)OC(=O)N1C2CCC1c1cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc12,Z3677a,Z4590a,,,
CC(C)c1ccc(N2Cc3ccc(NC(=O)c4ccc5c(c4)C4(CCOCC4)C(=O)N5)cc3C2)cc1,Z3677a,Z4590a,,,
O=C(Nc1ccc2c(c1)CN(C1CC(F)CNC1=O)C2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Z3677a,Z4590a,,,
CN1C(=O)CCC(N2Cc3cc(NC(=O)c4ccc5c(c4)C4(CCOCC4)C(=O)N5)ccc3C2=O)C1=O,Z3677a,Z4590a,,,
CC(C(=O)N(C)C)N(C(=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2)c1ccc2c(c1)C(=O)N(C)C2=O,Z3677a,Z4590a,,,
CN1C(=O)CCC(N2Cc3ccc(NC(=O)c4ccc5c(c4)C4(CCOCC4)C(=O)N5)cc3C2=O)C1=O,Z3677a,Z4590a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C)C3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)CNC3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)NC3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
CCN1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C)C3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)N(C)c2ccc3c(c2)CN(C)C3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2cc3c(cc2F)CNC3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C)C3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)NC3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C)C3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
CC(=O)N1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1,Z3842a,Z4983a,,,
CCCN1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1,Z3842a,Z4983a,,,
CCN1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1=O,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C)C3(C)C)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2cc3c(cc2Br)CN(C=O)C3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
CCN1Cc2cc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)ccc2C1=O,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)CN(CC(F)F)C3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C(C)C)C3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)CN(CC(F)(F)F)C3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
COCN1C(=O)c2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1=O,Z3842a,Z4983a,,,
CCOCCCN1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1,Z3842a,Z4983a,,,
Cc1ccc(C(=O)N2Cc3ccc(NC(=O)OC(C)(C)C)cc3C2)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C2CCCNC2=O)C3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(c2ccc(F)cc2)C3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C2CC(F)CNC2=O)C3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)c2[nH]cc(C#N)c12,Z3842a,Z4983a,,,
N#Cc1csc2ccc(C(=O)Nc3cc4c(cc3F)CNC4=O)cc12,Z2057a,Z3970a,,,
CCCN1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1,Z2057a,Z3970a,,,
N#Cc1csc2ccc(C(=O)Nc3cc4c(cc3Br)CN(C=O)C4)cc12,Z2057a,Z3970a,,,
CCCCN1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1,Z2057a,Z3970a,,,
CC(C)N1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1=O,Z2057a,Z3970a,,,
COCCCN1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1,Z2057a,Z3970a,,,
CCCC(C)N1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1,Z2057a,Z3970a,,,
CC(C)CCN1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1,Z2057a,Z3970a,,,
N#Cc1csc2ccc(C(=O)N3Cc4ccc(NC(=O)C(F)(F)F)cc4C3)cc12,Z2057a,Z3970a,,,
N#Cc1csc2ccc(C(=O)Nc3ccc4c(c3)CN(c3ccccc3)C4)cc12,Z2057a,Z3970a,,,
CCOCCCN1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1,Z2057a,Z3970a,,,
CC(C)(C)OC(=O)N1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1,Z2057a,Z3970a,,,
CC(C)(O)CCN1Cc2ccc(NC(=O)c3ccc4scc(C#N)c4c3)cc2C1=O,Z2057a,Z3970a,,,
N#Cc1csc2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4)cc12,Z2057a,Z3970a,,,
CC(C)c1ccc(N2Cc3ccc(NC(=O)c4ccc5scc(C#N)c5c4)cc3C2)cc1,Z2057a,Z3970a,,,
CN1C(=O)CCC(N2Cc3cc(NC(=O)c4ccc5scc(C#N)c5c4)ccc3C2=O)C1=O,Z2057a,Z3970a,,,
CC(C(=O)N(C)C)N(C(=O)c1ccc2scc(C#N)c2c1)c1ccc2c(c1)C(=O)N(C)C2=O,Z2057a,Z3970a,,,
CN1C(=O)CCC(N2Cc3ccc(NC(=O)c4ccc5scc(C#N)c5c4)cc3C2=O)C1=O,Z2057a,Z3970a,,,
O=C(Nc1ccc2c(c1)CN(c1ccccc1)C2)c1ccc2c(c1)C1(CC1)C(=O)N2,Z4429a,Z5011a,,,
O=C(Nc1ccc2c(c1)CN(c1ccccc1)C2)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Z4429a,Z5011a,,,
O=C(Nc1ccc2c(c1)C(=O)N(c1ccc(F)cc1)C2=O)c1ccc2c(c1)C1(CC1)C(=O)N2,Z4429a,Z5011a,,,
CC(C)c1ccc(N2Cc3ccc(NC(=O)c4ccc5c(c4)C(C)(C)C(=O)N5C)cc3C2)cc1,Z4429a,Z5011a,,,
Cc1c[nH]c2c(Cl)cc(C(=O)Nc3ccc4c(c3)CN(C)C4=O)cc12,Z0553a,Z4959a,,,
Cc1c[nH]c2c(Cl)cc(C(=O)Nc3ccc4c(c3)C(=O)N(C)C4=O)cc12,Z0553a,Z4959a,,,
CCN1Cc2cc(NC(=O)c3cc(Cl)c4[nH]cc(C)c4c3)ccc2C1=O,Z0553a,Z4959a,,,
CCCCN1Cc2cc(NC(=O)c3cc(Cl)c4[nH]cc(C)c4c3)ccc2C1=O,Z0553a,Z4959a,,,
