smiles,template,compound_set,hit1,hit2,hit3,hit4,hit5,hit6,hit7,hit8,hit9,hit10,hit11,hit12,hit13,hit14,hit15,hit16,hit17,hit18,hit19,hit20,hit21,hit22,hit23,hit24,hit25,hit26,hit27,hit28,hit29,hit30,hit31,hit32,hit33,hit34,hit35,hit36,hit37,hit38,hit39,hit40,hit41,hit42,hit43,hit44,hit45,hit46,hit47,hit48,hit49,hit50,hit51,hit52,hit53,hit54,hit55,hit56,hit57,hit58,hit59,hit60,hit61
NN1Cc2ccc(NC(=O)c3cc(F)cc4c3ncn4C3CCCO3)cc2C1,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0404a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc2c3c(c1)NCN3CCC2,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0455a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCn1cnc2cc(Br)cc(C)c21,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0589a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCCOc1c(C)c(C)c2c(C(=O)C(=O)C3CC4(CCNC4)C3)cc(F)cc2c1CO,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0719a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1NCC2(CN1)NCc1cccc(C(=O)NC3CN(C)C4(CCNC4)C3)c12,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0773a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCc1ncc(C(O)(C#N)Nc2ccc3c(c2)CNC3N)c2cc(Cl)ccc12,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0806a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCn1cnc2ccc(NCCc3ccc(CNc4nc5ccccc5[nH]4)c(O)c3)cc21,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0846b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)Nc1cc(Cl)cc(C(O)(NC2CCC3(CCNC3)CC2C)C(=O)NCC2CCOCC2)c1NNC,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0846a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCn1nnc2c(C(=O)Nc3cc4c(cc3F)CNC4)cc(F)cc21,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z0969a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N#Cc1cc2c(cc1NC(=O)c1cc(F)cc3c1cnn3NC1CNC1)CNC2,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z1664a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(O)c1NC(=O)c1c(F)cncc1CCNCS(=O)(=O)c1nccn1Cc1cscn1,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z3397a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(Cc1ccc(CNc2nc3ccccc3[nH]2)c(O)c1)n1ncc2c(C(=O)Nc3ccc4c(c3)CNC4)cccc21,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z3441a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCn1cnc2c(C(=O)Nc3cc(C#N)c4c(c3)CNC4)cc(Cl)cc21,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z3452a,Z3654a,Z4117a,Z4227a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNC1(C)CSC(CC(CC)C2(O)NC(C)NCCNCCCNC(=O)c3cccnc32)C1,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z3476a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nc2c(C(=O)Nc3ccc4c(c3)CNC4)ccc3ncn1c32,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z3495a,Z4951a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)C(Nc1ccc2c(c1)CNC2)c1ccc(NCNCC)cc1CNN,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z3503a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS(=O)(=O)c1ccc(N2CCNCC2)cc1C(=O)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z3699a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1(C)c2c(C(=O)Nc3ccc4c(c3)CNC4)ccc3ncn(c23)C1C,Z0490a,openbind_xx01zvns2b_c1_scaffolds,Z0490a,Z3815a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
