target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1,reactant-4-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C62668,1,,,,Cc1ccc(N)c2cccnc12,O=C(O)c1cccc2scnc12,Cc1ccc(NC(=O)c2cccc3scnc23)c2cccnc12,Amidation,,,,,,,,,,
C55265,1,,,,O=C(O)CO,CC(N)C1CCCCN1C(=O)c1cccc2[nH]cnc12,CC(NC(=O)CO)C1CCCCN1C(=O)c1cccc2[nH]cnc12,Amidation,,,,,,,,,,
C70482,1,,,,Cc1cc(Br)cc2nc[nH]c12,CCOS(=O)(=O)c1ccc(C)cc1,CCn1cnc2cc(Br)cc(C)c21,Amine_alkylation,,,,,,,,,,
C61598,1,,,,O=Cc1ccc2c(c1)CNC2,CCCCN,CCCCNCc1ccc2c(c1)CNC2,Reductive_amination,,,,,,,,,,
C67555,1,,,,O=C1CC(C(=O)O)CCN1,Nc1nnc(C2CCNC2)[nH]1,O=C1CC(C(=O)Nc2nnc(C3CCNC3)[nH]2)CCN1,Amidation,,,,,,,,,,
C59678,1,,,,Ic1ncc[nH]1,CC1(C)OB(c2ccsn2)OC1(C)C,c1c[nH]c(-c2ccsn2)n1,Sp2-sp2_Suzuki_coupling,,,,,,,,,,
C59954,1,,,,CC(=O)O,NCC12CCCN1CCC2,CC(=O)NCC12CCCN1CCC2,Amidation,,,,,,,,,,
C69956,1,,,,NC1Cc2cscc2C1,COC(=O)c1cnc2c(C=O)cccn12,COC(=O)c1cnc2c(CNC3Cc4cscc4C3)cccn12,Reductive_amination,,,,,,,,,,
C56722,1,,,,CC(O)C(=O)O,Nc1nccs1,CC(O)C(=O)Nc1nccs1,Amidation,,,,,,,,,,
C69102,1,,,,N,CSCCC=O,CSCCC(N)c1nc2ccccc2s1,Petasis-borono_Mannich_reaction,,,CC1(C)OB(c2nc3ccccc3s2)OC1(C)C,,,,,,,
C64151,1,,,,O=C(O)c1cccc2nccn12,Cc1nc(CCN)c[nH]1,Cc1nc(CCNC(=O)c2cccc3nccn23)c[nH]1,Amidation,,,,,,,,,,
C10430,1,,,,O=S(=O)(Oc1ccncc1)C(F)(F)F,CC1(C)OB(c2cccc3ncccc23)OC1(C)C,c1cc(-c2ccncc2)c2cccnc2c1,Sp2-sp2_Suzuki_coupling,,,,,,,,,,
C63174,1,,,,CC(N)c1cccc2cccnc12,O=C(O)c1noc2c1CNCC2,CC(NC(=O)c1noc2c1CNCC2)c1cccc2cccnc12,Amidation,,,,,,,,,,
C66225,1,,,,CC=O,OB(O)c1cscn1,CSCCN(C)C(C)c1cscn1,Petasis-borono_Mannich_reaction,,,CNCCSC,,,,,,,
C70444,1,,,,Brc1nc2ccccc2[nH]1,NCc1cccc(OCC(N)=O)c1,NC(=O)COc1cccc(CNc2nc3ccccc3[nH]2)c1,N-nucleophilic_aromatic_substitution,,,,,,,,,,
