id,smiles,openbind_xx01zvns2b_c2_hit_analogues_85percent,hits,soaks,C26 85percent analogue,C22 85percent analogue,openbind_xx01zvns2b_c1_knitwork_pure,C145 85percent analogue,C141 85percent analogue,openbind_xx01zvns2b_c1_knitwork_impure,C28 85percent analogue,C20 85percent analogue,C41 85percent analogue,C7 90percent analogue,C7 85percent analogue,openbind_xx01zvns2b_c2_hit_analogues_90percent,openbind_xx01zvns2b_c1_scaffolds_chemok_bbok,C41 95percent analogue,openbind_xx01zvns2b_c1_scaffolds_chemok,openbind_xx01zvns2b_c2_hit_analogues_95percent,openbind_xx01zvns2b_c1_scaffolds,C41 90percent analogue,C17 85percent analogue,C17 90percent analogue,C80 85percent analogue,C6 85percent analogue,C21 85percent analogue,C51 85percent analogue,C86 85percent analogue,C86 90percent analogue,C40 85percent analogue,C1 95percent analogue,C1 90percent analogue,C1 85percent analogue,C15 85percent analogue,C15 90percent analogue,C19 85percent analogue,C77 85percent analogue,C48 85percent analogue,C49 85percent analogue,C50 85percent analogue,C50 95percent analogue,C50 90percent analogue,C33 85percent analogue,C86 95percent analogue,C18 85percent analogue,C39 85percent analogue,C39 90percent analogue,C75 85percent analogue,C34 85percent analogue,C38 85percent analogue,C31 95percent analogue,C31 85percent analogue,C31 90percent analogue,C23 85percent analogue,C35 90percent analogue,C35 85percent analogue,C16 85percent analogue,C49 90percent analogue,C49 95percent analogue,C3 85percent analogue,C72 90percent analogue,C72 85percent analogue,C21 90percent analogue,C77 90percent analogue,C77 95percent analogue,C78 85percent analogue,C52 85percent analogue,C46 85percent analogue,C45 85percent analogue,C9 85percent analogue,C73 85percent analogue,C11 90percent analogue,C11 85percent analogue,C25 85percent analogue,C25 90percent analogue,C22 90percent analogue,C24 90percent analogue,C24 85percent analogue,C26 90percent analogue,C22 95percent analogue,C27 85percent analogue,C13 85percent analogue,C26 95percent analogue,C36 85percent analogue,C40 90percent analogue,C28 95percent analogue,C28 90percent analogue,C10 90percent analogue,C10 85percent analogue,C89 85percent analogue,C89 90percent analogue,C127 85percent analogue,C173 85percent analogue,C171 85percent analogue,C79 85percent analogue,C75 90percent analogue,C75 95percent analogue,C3 90percent analogue,C83 85percent analogue,C48 95percent analogue,C48 90percent analogue,C51 90percent analogue,C51 95percent analogue,C73 90percent analogue,C43 85percent analogue,C108 85percent analogue,C71 85percent analogue,C108 90percent analogue,C150 85percent analogue,C151 85percent analogue,C83 90percent analogue,C82 90percent analogue,C84 85percent analogue,C82 85percent analogue,C5 85percent analogue,C6 90percent analogue,C6 95percent analogue,C8 85percent analogue,C8 90percent analogue,C9 90percent analogue,C13 90percent analogue,C14 85percent analogue,C14 90percent analogue,C16 90percent analogue,C16 95percent analogue,C18 90percent analogue,C20 90percent analogue,C23 90percent analogue,C29 90percent analogue,C29 85percent analogue,C30 85percent analogue,C30 90percent analogue,C30 95percent analogue,C32 90percent analogue,C32 85percent analogue,C33 90percent analogue,C33 95percent analogue,C34 90percent analogue,C35 95percent analogue,C40 95percent analogue,C42 85percent analogue,C42 90percent analogue,C44 85percent analogue,C45 90percent analogue,C46 90percent analogue,C52 90percent analogue,C47 85percent analogue,C52 95percent analogue,C53 85percent analogue,C54 85percent analogue,C55 85percent analogue,C56 85percent analogue,C58 85percent analogue,C61 85percent analogue,C63 85percent analogue,C168 85percent analogue,C64 85percent analogue,C65 85percent analogue,C67 85percent analogue,C69 85percent analogue,C71 90percent analogue,C72 95percent analogue,C74 85percent analogue,C74 90percent analogue,C78 90percent analogue,C85 85percent analogue,C87 85percent analogue,C89 95percent analogue,C90 85percent analogue,C90 90percent analogue,C228 85percent analogue,C159 85percent analogue,C219 85percent analogue,C95 85percent analogue,C95 90percent analogue,C100 85percent analogue,C103 85percent analogue,C106 85percent analogue,C104 85percent analogue,C105 85percent analogue,C107 85percent analogue,C110 85percent analogue,C136 85percent analogue,C110 90percent analogue,C196 85percent analogue,C111 85percent analogue,C128 85percent analogue,C114 85percent analogue,C123 90percent analogue,C132 85percent analogue,C118 85percent analogue,C169 90percent analogue,C169 85percent analogue,C193 85percent analogue,C123 85percent analogue,C286 85percent analogue,C115 85percent analogue,C119 85percent analogue,C121 85percent analogue,C122 85percent analogue,C124 85percent analogue,C134 85percent analogue,C126 85percent analogue,C230 85percent analogue,C231 85percent analogue,C297 85percent analogue,C296 85percent analogue,C139 85percent analogue,C149 85percent analogue,C129 85percent analogue,C144 85percent analogue,C153 85percent analogue,C183 85percent analogue,C198 85percent analogue,C199 85percent analogue,C161 85percent analogue,C246 85percent analogue,C204 85percent analogue,C162 85percent analogue,C171 90percent analogue,C175 85percent analogue,C181 85percent analogue,C180 85percent analogue,C277 85percent analogue,C185 85percent analogue,C188 85percent analogue,C212 85percent analogue,C192 85percent analogue,C209 85percent analogue,C206 85percent analogue,C229 85percent analogue,C210 85percent analogue,C224 85percent analogue,C232 85percent analogue,C211 85percent analogue,C240 85percent analogue,C213 85percent analogue,C221 85percent analogue,C223 85percent analogue,C262 85percent analogue,C272 85percent analogue,C273 85percent analogue,C295 85percent analogue
22,C[n+]1ccc(C#N)cc1,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,C=Cc1ccc[n+](C)c1,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Fc1ccc(CNc2ccc3c(c2)CNC3)c2ncccc12,True,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,CC(=O)N(C)c1cccnc1,True,,True,,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,c1ccc(N2CCCCC2)nc1,True,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7935,c1ccc2c(C3CCNCC3)ccnc2c1,True,,,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8736,CCCNc1nc2ccccc2[nH]1,True,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8738,CCC(N)c1nc2ccccc2[nH]1,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,c1cc(C2CCNCC2)c2cc[nH]c2c1,True,,,,,True,,,True,,,True,,,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10674,c1cc2cc(C3CCNCC3)ccc2[nH]1,True,,,,,,,,True,,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12249,c1ccc2ncc(N3CCNCC3)cc2c1,True,,,,,True,,,True,,,,,,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12490,CCC(=O)Nc1nc2ccccc2[nH]1,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15767,CC(N)Cc1nc2ccccc2[nH]1,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,O=C1CCN(c2cccnc2)CC1,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16004,O=C1CCN(c2ccncc2)CC1,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16061,c1cc(N2CCNCC2)c2cc[nH]c2c1,True,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17849,c1ccc2c(c1)ccn2C1CCNCC1,True,,True,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
