id,smiles,openbind_xx01zvns2b_c2_hit_analogues_85percent,C7 90percent analogue,C7 85percent analogue,openbind_xx01zvns2b_c2_hit_analogues_90percent,C41 85percent analogue,openbind_xx01zvns2b_c1_scaffolds_chemok_bbok,C41 95percent analogue,openbind_xx01zvns2b_c1_scaffolds_chemok,openbind_xx01zvns2b_c1_knitwork_impure,openbind_xx01zvns2b_c1_knitwork_pure,openbind_xx01zvns2b_c2_hit_analogues_95percent,openbind_xx01zvns2b_c1_scaffolds,C41 90percent analogue,C17 85percent analogue,C17 90percent analogue,C86 85percent analogue,C86 90percent analogue,C1 95percent analogue,C1 90percent analogue,C1 85percent analogue,C15 85percent analogue,C15 90percent analogue,C50 85percent analogue,C50 95percent analogue,C50 90percent analogue,C33 85percent analogue,C86 95percent analogue,C39 85percent analogue,C39 90percent analogue,C31 95percent analogue,C31 85percent analogue,C31 90percent analogue,C35 90percent analogue,C35 85percent analogue,C49 85percent analogue,C49 90percent analogue,C49 95percent analogue,C72 90percent analogue,C72 85percent analogue,C77 85percent analogue,C21 90percent analogue,C21 85percent analogue,C77 90percent analogue,soaks,C77 95percent analogue,C11 90percent analogue,C11 85percent analogue,C25 85percent analogue,C25 90percent analogue,C26 85percent analogue,C22 85percent analogue,C22 90percent analogue,C24 90percent analogue,C24 85percent analogue,C26 90percent analogue,C22 95percent analogue,C26 95percent analogue,C40 85percent analogue,C40 90percent analogue,C28 85percent analogue,C28 95percent analogue,C28 90percent analogue,C10 90percent analogue,C10 85percent analogue,C89 85percent analogue,C89 90percent analogue,C75 85percent analogue,C75 90percent analogue,C75 95percent analogue,C3 90percent analogue,C3 85percent analogue,C48 95percent analogue,C48 85percent analogue,C48 90percent analogue,C51 85percent analogue,C51 90percent analogue,C51 95percent analogue,C73 85percent analogue,C73 90percent analogue,C9 85percent analogue,C71 85percent analogue,C108 85percent analogue,C108 90percent analogue,C83 90percent analogue,C82 90percent analogue,C83 85percent analogue,C84 85percent analogue,C82 85percent analogue,C6 90percent analogue,C6 85percent analogue,C6 95percent analogue,C8 90percent analogue,C8 85percent analogue,C9 90percent analogue,C13 85percent analogue,C13 90percent analogue,C14 90percent analogue,C14 85percent analogue,C16 90percent analogue,C16 85percent analogue,C16 95percent analogue,C18 90percent analogue,C18 85percent analogue,C20 90percent analogue,C20 85percent analogue,C23 85percent analogue,C23 90percent analogue,C29 90percent analogue,C29 85percent analogue,C30 90percent analogue,C30 85percent analogue,C30 95percent analogue,C32 90percent analogue,C32 85percent analogue,C33 90percent analogue,C33 95percent analogue,C34 90percent analogue,C34 85percent analogue,C35 95percent analogue,C40 95percent analogue,C42 85percent analogue,C42 90percent analogue,C45 90percent analogue,C45 85percent analogue,C46 90percent analogue,C52 85percent analogue,C46 85percent analogue,C52 90percent analogue,C52 95percent analogue,C71 90percent analogue,C72 95percent analogue,C74 85percent analogue,C74 90percent analogue,C78 90percent analogue,C78 85percent analogue,C89 95percent analogue,C90 90percent analogue,C90 85percent analogue,C95 85percent analogue,C95 90percent analogue,C110 90percent analogue,C110 85percent analogue,C196 85percent analogue,C128 85percent analogue,C114 85percent analogue,C123 90percent analogue,C132 85percent analogue,C168 85percent analogue,C118 85percent analogue,C169 90percent analogue,C169 85percent analogue,C193 85percent analogue,C123 85percent analogue,C286 85percent analogue,C173 85percent analogue,C171 85percent analogue,C183 85percent analogue,C171 90percent analogue
8736,CCCNc1nc2ccccc2[nH]1,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,c1cc(C2CCNCC2)c2cc[nH]c2c1,True,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10674,c1cc2cc(C3CCNCC3)ccc2[nH]1,True,,,True,True,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12249,c1ccc2ncc(N3CCNCC3)cc2c1,True,,,True,,,,,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17850,c1ccc2c(C3CCNCC3)c[nH]c2c1,True,,,True,True,,True,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49324,c1ccc2c(C3CCCNC3)c[nH]c2c1,True,,,True,True,,True,,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65266,Nc1cccc2ncccc12,True,,,True,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67672,NCCCn1cnc2ccccc21,True,,,True,,,,,True,,True,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73902,Cc1ccc(-c2nnc(N)[nH]2)s1,True,,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82644,N#Cc1cnn2c1CNCC2,True,,,True,,,,,,,True,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
