id,smiles,C41 85percent analogue,openbind_xx01zvns2b_c2_hit_analogues_85percent,openbind_xx01zvns2b_c1_scaffolds_chemok_bbok,openbind_xx01zvns2b_c2_hit_analogues_90percent,C41 95percent analogue,openbind_xx01zvns2b_c1_scaffolds_chemok,openbind_xx01zvns2b_c1_knitwork_impure,openbind_xx01zvns2b_c1_knitwork_pure,openbind_xx01zvns2b_c2_hit_analogues_95percent,openbind_xx01zvns2b_c1_scaffolds,C41 90percent analogue,C1 95percent analogue,C1 90percent analogue,C1 85percent analogue,C50 85percent analogue,C50 95percent analogue,C50 90percent analogue,C86 90percent analogue,C33 85percent analogue,C86 95percent analogue,C86 85percent analogue,C31 95percent analogue,C31 85percent analogue,C31 90percent analogue,C49 85percent analogue,C49 90percent analogue,C49 95percent analogue,C77 90percent analogue,soaks,C77 95percent analogue,C77 85percent analogue,C26 85percent analogue,C26 90percent analogue,C22 95percent analogue,C22 85percent analogue,C22 90percent analogue,C26 95percent analogue,C28 85percent analogue,C28 95percent analogue,C28 90percent analogue,C75 85percent analogue,C75 90percent analogue,C75 95percent analogue,C48 95percent analogue,C48 85percent analogue,C48 90percent analogue,C51 85percent analogue,C51 95percent analogue,C51 90percent analogue,C6 90percent analogue,C6 95percent analogue,C6 85percent analogue,C16 85percent analogue,C16 95percent analogue,C16 90percent analogue,C30 90percent analogue,C30 95percent analogue,C30 85percent analogue,C33 90percent analogue,C33 95percent analogue,C35 95percent analogue,C35 90percent analogue,C35 85percent analogue,C40 85percent analogue,C40 90percent analogue,C40 95percent analogue,C52 85percent analogue,C52 95percent analogue,C52 90percent analogue,C72 90percent analogue,C72 85percent analogue,C72 95percent analogue,C89 85percent analogue,C89 95percent analogue,C89 90percent analogue
9946,c1cc(C2CCNCC2)c2cc[nH]c2c1,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17850,c1ccc2c(C3CCNCC3)c[nH]c2c1,True,True,,True,True,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49324,c1ccc2c(C3CCCNC3)c[nH]c2c1,True,True,,True,True,,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67672,NCCCn1cnc2ccccc21,,True,,True,,,True,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82644,N#Cc1cnn2c1CNCC2,,True,,True,,,,,True,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92035,CNc1cncc2ccccc12,,True,,True,,,,,True,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108815,CNCCn1cnc2ccccc21,,True,,True,,,True,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122156,OCc1cnn2c1CNCC2,,True,,True,,,,,True,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128529,CCn1ncc2cc(C(=O)O)cnc21,,True,,True,,,,,True,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128787,NCc1nnc2ccccn12,,True,,True,,,,,True,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128977,NCCc1nnc2ccccn12,,True,,True,,,,,True,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129151,Nc1ccc(Cl)c2ncccc12,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132380,CNc1ccc(Cl)c2ncccc12,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133994,C[n+]1cccc(C#N)c1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134640,C=Cc1cc[n+](C)cc1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135147,CC(=O)Nc1cnccc1C,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143586,Cc1ccc2c(N)ccc(Br)c2n1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147763,CCOc1ccnc(N2CCNCC2)n1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148493,Cc1cc(N)c2cc(Br)ccc2n1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160925,CN1CCN(C(=O)NN)CC1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
160926,CCN1CCN(C(N)=O)CC1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
191240,NCCn1cnc2ccccc21,,True,,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191242,C#CCn1cnc2ccccc21,,True,,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191244,OCn1cnc2ccccc21,,True,,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191257,N#Cn1cnc2ccccc21,,True,,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191262,CCCn1cnc2ccccc21,,True,,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191263,N#CCn1cnc2ccccc21,,True,,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191270,C#Cn1cnc2ccccc21,,True,,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200207,COc1ccc2nc(N)sc2c1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
200210,COc1ccc2sc(NN)nc2c1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
200235,Nc1nc2cc(O)ccc2s1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
200252,Nc1nc2ccc(O)cc2s1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
200500,CN(C)c1cc(CCl)ccn1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
200523,CN(C)c1ccc(CN)cn1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
200531,C#Cc1ccnc(N(C)C)c1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
200533,CCN(C)c1cc(CN)ccn1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
200534,CN(C)c1cc(C#N)ccn1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
200535,CN(C)c1cc(CO)ccn1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
200723,N#CCc1n[nH]c2ccccc12,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,
200741,C#Cc1n[nH]c2ccccc12,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,
200743,CCc1n[nH]c2ccccc12,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,
200758,Cc1cnc2c(cnn2CCC(=O)O)c1,,True,,True,,,,,True,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200764,CCOC(=O)Cn1ncc2cc(C)cnc21,,True,,True,,,,,True,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200770,Nc1nccc2ccccc12,,True,,True,,,,,True,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
200821,CS(=O)(=O)c1ccnc2ccccc12,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,
200882,CS(=O)(=O)NC1CCCNC1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,
200893,CS(=O)(=O)NCC1CCCCN1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,
200913,c1cc2c(C3CCNCC3)c[nH]c2cn1,True,True,,True,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201032,NCCCc1nnc2ccccn12,,True,,True,,,,,True,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201081,NCCN1CCN(C(N)=O)CC1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
201180,CNCC(=O)Nc1cccc(NC(C)=O)c1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,
201314,Nc1cc(Cl)c2ccccc2n1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,
201351,Nc1cc(Cl)c2ccncc2n1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,
201355,Nc1ccc2ccc(Cl)cc2n1,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,
201695,Nc1cccc2cnccc12,,True,,True,,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201698,Nc1cccc2ccncc12,,True,,True,,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201725,Nc1cncc2cnccc12,,True,,True,,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
