name gnina_score gnina_score_min smina_score_min min_rmsd 
P95884 4.374 4.386 -4.597 1.207
P95885 4.450 4.417 -4.744 1.324
P95886 4.521 4.489 -4.816 0.739
P95888 4.505 4.427 -5.174 1.404
P95889 4.499 4.470 -4.676 0.805
P95890 4.563 4.433 -5.426 1.181
P95891 4.545 4.482 -4.799 0.667
P95892 4.560 4.448 -5.098 1.128
P95893 4.506 4.498 -4.704 0.885
P95894 4.411 4.303 -4.789 0.869
P95895 4.397 4.229 -4.665 0.933
P95896 4.480 4.361 -4.898 0.847
P95898 4.551 4.566 -4.668 1.048
P95900 4.566 4.538 -5.591 2.224
P95903 4.421 4.401 -4.703 0.901
P95905 4.596 4.584 -4.797 0.892
P95906 4.590 4.547 -4.672 1.703
P95908 4.497 4.410 -4.678 1.483
P95911 4.465 4.521 -4.642 1.106
P95912 4.662 4.604 -5.705 2.139
P95913 4.400 4.368 -4.694 1.014
P95914 4.634 4.596 -4.957 0.680
P95915 4.641 4.631 -4.604 1.346
P95916 4.536 4.508 -4.593 0.819
P95918 4.571 4.580 -4.632 1.135
P95920 4.436 4.451 -5.215 2.331
P95921 4.644 4.536 -5.494 0.770
P95922 4.527 4.490 -4.977 1.835
P95925 4.582 4.520 -4.632 0.757
P95926 4.619 4.593 -4.964 1.139
P95927 4.691 4.663 -5.495 1.164
P95928 4.505 4.514 -5.055 1.252
P95930 4.488 4.447 -5.166 2.258
P95931 4.467 4.412 -4.695 0.835
P95932 4.646 4.649 -5.524 0.425
P95933 4.513 4.444 -5.677 1.637
P95934 4.413 4.390 -4.660 1.937
P95936 4.564 4.556 -4.675 0.818
P95937 4.494 4.450 -4.736 1.264
P95938 4.679 4.647 -5.323 2.770
P95940 4.632 4.651 -4.795 0.778
P95941 4.647 4.643 -5.548 0.800
P95942 4.691 4.555 -5.500 1.101
P95944 4.625 4.478 -4.656 1.293
P95945 4.638 4.567 -4.614 1.874
P95946 4.534 4.498 -5.153 2.071
P95947 4.638 4.570 -5.403 1.116
P95948 4.442 4.384 -5.395 1.731
P95949 4.439 4.440 -4.571 2.247
P95950 4.612 4.620 -4.327 0.747
P95951 4.474 4.357 -5.383 2.054
P95953 4.472 4.641 -5.377 2.649
P95954 4.499 4.438 -4.464 1.086
P95955 4.603 4.528 -4.425 1.020
P95956 4.585 4.629 -4.781 1.807
P95957 4.662 4.647 -5.486 2.276
P95958 4.598 4.574 -4.788 0.885
P95959 4.543 4.483 -4.785 0.949
P95961 4.433 4.388 -4.707 0.747
P95962 4.512 4.481 -4.640 0.797
P95963 4.713 4.563 -5.713 1.273
P95967 4.706 4.648 -4.891 1.723
P95968 4.629 4.516 -5.086 0.877
P95970 4.672 4.627 -5.430 1.630
P95971 3.946 3.983 -5.130 0.833
P95972 4.162 4.127 -5.578 0.373
P95973 4.051 4.081 -4.663 0.218
P95974 3.656 3.593 -4.487 0.544
P95975 3.898 3.953 -5.418 1.100
P95976 3.877 3.954 -5.973 0.384
P95977 3.990 3.945 -4.321 0.810
P95978 3.935 4.012 -5.645 0.548
P95979 3.918 3.948 -5.463 0.647
P95980 4.206 4.199 -5.491 0.325
P95981 3.931 4.112 -5.843 0.513
P95982 3.996 4.033 -5.628 0.425
P95983 4.298 4.269 -5.185 1.178
P95984 4.175 4.062 -5.305 0.886
P95985 4.253 4.150 -5.786 1.278
P95987 4.483 4.542 -6.072 0.400
P95988 4.435 4.479 -5.743 0.610
P95989 4.241 4.223 -5.243 0.638
P95990 3.832 3.784 -4.620 0.486
P95991 4.245 4.017 -4.975 0.414
P95992 4.392 4.461 -6.310 0.430
P95993 4.362 4.164 -4.385 0.713
P95994 4.272 4.382 -5.626 1.328
P95995 4.254 4.318 -5.286 1.150
P95996 3.964 3.799 -4.167 0.950
P95997 4.188 4.250 -5.801 0.534
P95998 3.982 4.006 -5.545 0.384
P95999 4.218 4.333 -6.036 0.730
P96000 4.183 4.156 -5.448 0.720
P96001 3.925 3.904 -4.976 0.708
P96002 3.692 3.763 -4.852 0.469
P96005 4.011 3.711 -5.089 0.773
P96006 3.881 3.814 -5.452 0.608
