target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C142812,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CN1Cc2cc(N)ccc2C1(C)C,CN1Cc2cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc2C1(C)C,Amidation,,
C142814,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,COCCCN1Cc2ccc(N)cc2C1,COCCCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Amidation,,
C142816,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CC(C)CCN1Cc2ccc(N)cc2C1,CC(C)CCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Amidation,,
C142818,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CCOCCCN1Cc2ccc(N)cc2C1,CCOCCCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Amidation,,
C190130,1,,,,Nc1cc(Cl)cc2cccnc12,CCN1C(=O)c2ccccc2N2C(=O)CCC12C(=O)O,CCN1C(=O)c2ccccc2N2C(=O)CCC12C(=O)Nc1cc(Cl)cc2cccnc12,Amidation,,
C190210,1,,,,Cc1cc(N)c2ncc(Br)cc2c1,CC(C)(C)OC(=O)N1CCC2(CC(=O)NC2C(=O)O)C1,Cc1cc(NC(=O)C2NC(=O)CC23CCN(C(=O)OC(C)(C)C)C3)c2ncc(Br)cc2c1,Amidation,,
C190217,1,,,,Cc1ccc2cccc(N)c2n1,CC(C)(C)OC(=O)N1CCC2(CC1)CC(=O)NC2C(=O)O,Cc1ccc2cccc(NC(=O)C3NC(=O)CC34CCN(C(=O)OC(C)(C)C)CC4)c2n1,Amidation,,
C190550,1,,,,Nc1cc(Cl)cc2cccnc12,CC(C)(C)OC(=O)C1CCN(c2ccc(Cl)nn2)CC1,O=C(Nc1cc(Cl)cc2cccnc12)C1CCN(c2ccc(Cl)nn2)CC1,Ester_amidation,,
C181936,1,,,,CCc1c(N)cnn1CC,Cc1ccc2cc(C(=O)O)c3ccc(C)nc3c2n1,CCc1c(NC(=O)c2cc3ccc(C)nc3c3nc(C)ccc23)cnn1CC,Amidation,,
C181937,1,,,,CC(C)c1c(N)cnn1C,Cc1ccc2cc(C(=O)O)c3ccc(C)nc3c2n1,Cc1ccc2cc(C(=O)Nc3cnn(C)c3C(C)C)c3ccc(C)nc3c2n1,Amidation,,
C190889,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,CCN1Cc2ccc(N)cc2C1,CCN1Cc2ccc(NC(=O)c3cc(Cl)cc4[nH]c(C)nc34)cc2C1,Amidation,,
C190899,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,CCCCN1Cc2ccc(N)cc2C1,CCCCN1Cc2ccc(NC(=O)c3cc(Cl)cc4[nH]c(C)nc34)cc2C1,Amidation,,
C190900,1,,,,Nc1ccc2c(c1)CN(CC(F)F)C2,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,Cc1nc2c(C(=O)Nc3ccc4c(c3)CN(CC(F)F)C4)cc(Cl)cc2[nH]1,Amidation,,
C190902,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,CC(C)CCN1Cc2ccc(N)cc2C1,Cc1nc2c(C(=O)Nc3ccc4c(c3)CN(CCC(C)C)C4)cc(Cl)cc2[nH]1,Amidation,,
C190903,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,CCCCN1Cc2cc(N)ccc2C1=O,CCCCN1Cc2cc(NC(=O)c3cc(Cl)cc4[nH]c(C)nc34)ccc2C1=O,Amidation,,
C190908,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,COCCN1Cc2cc(N)ccc2C1=O,COCCN1Cc2cc(NC(=O)c3cc(Cl)cc4[nH]c(C)nc34)ccc2C1=O,Amidation,,
