compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
124938,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,DEQDFNBVRHFKBQ-UHFFFAOYSA-N,11.0,11.0,,Enamine,,Z3244911186,46.2,EUR,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,2025-12-09,1,11,11,{'Amidation'},"{48643, 53063, 10825, 9994, 10827, 48588, 10829, 48589, 10831, 48528, 48628}","{142816, 142818, 141606, 184618, 184563, 184564, 184503, 189305, 184603, 142812, 142814}"
139363,Nc1ccc2c(c1)CN(c1ccccc1)C2,BJTCEQMNWZXCGG-UHFFFAOYSA-N,23.0,23.0,,Enamine,,Z406357852,80.5,EUR,,,Nc1ccc2c(c1)CN(c1ccccc1)C2,2025-12-09,1,23,23,{'Amidation'},"{51721, 9994, 43537, 51734, 51745, 51874, 48548, 48550, 51751, 51879, 28202, 48560, 62137, 51905, 29514, 43858, 29398, 43866, 43874, 47094, 43895, 43001, 43903}","{179344, 141606, 187951, 187964, 187975, 188104, 184523, 184525, 187981, 188109, 179665, 184535, 179673, 164061, 179681, 188135, 163945, 162291, 179702, 178808, 199803, 183037, 179710}"
128069,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,AJKLRBSMVKYPMF-UHFFFAOYSA-N,9.0,10.0,7392,Enamine,,Z2733214122,65.0,EUR,,,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,2025-12-09,1,9,9,{'Ester_amidation'},"{29921, 29919, 29931, 10070, 10071, 10072, 29949, 29917, 29912}","{164487, 164478, 164469, 164504, 164474, 164476, 141757, 141758, 141759}"
141753,CN1Cc2cc(N)ccc2C1=O,VNYNRNAJJGDULT-UHFFFAOYSA-N,41.0,41.0,,Enamine,,Z1255441398,57.4,EUR,,,CN1Cc2cc(N)ccc2C1=O,2025-12-09,2,41,41,"{'Ester_amidation', 'Amidation'}","{43776, 51844, 43654, 44166, 43784, 29451, 44174, 51599, 30993, 42897, 42643, 43799, 51864, 62108, 42787, 42662, 43686, 43312, 43574, 43830, 42939, 43838, 42688, 42950, 43391, 42324, 10070, 51670, 51800, 43353, 51801, 52952, 51680, 43363, 43632, 51824, 43763, 42613, 44150, 44157, 43647}","{179461, 179973, 179591, 187910, 179981, 189182, 178704, 178450, 179606, 188054, 163998, 178594, 178469, 179493, 188074, 179119, 179381, 179637, 187829, 178746, 141757, 179645, 178495, 188094, 178757, 178131, 179198, 179160, 187900, 199774, 179170, 179964, 188030, 179439, 188031, 179570, 178420, 179957, 166268, 179454, 179583}"
141754,CN1C(=O)c2ccc(N)cc2C1=O,KMEBUNSLFRQSEM-UHFFFAOYSA-N,24.0,24.0,,Enamine,,Z57036341,33.599999999999994,EUR,,,CN1C(=O)c2ccc(N)cc2C1=O,2025-12-09,2,24,24,"{'Ester_amidation', 'Amidation'}","{42762, 51980, 43540, 51611, 43165, 43426, 51624, 44211, 51770, 44091, 44093, 51647, 44223, 44104, 43594, 10071, 42455, 51674, 51947, 29550, 42991, 43121, 51955, 42749}","{187904, 164097, 178569, 188177, 179347, 188185, 178972, 179233, 180018, 188210, 179898, 179900, 180030, 141758, 187841, 179911, 179401, 187854, 178262, 188000, 187877, 178798, 178928, 178556}"
141755,CCN1Cc2cc(N)ccc2C1=O,JABHYVLKNVQMNM-UHFFFAOYSA-N,43.0,43.0,,Enamine,,Z1255363367,64.5,EUR,,,CCN1Cc2cc(N)ccc2C1=O,2025-12-09,2,43,43,"{'Ester_amidation', 'Amidation'}","{42755, 51974, 43016, 43144, 42765, 42768, 43152, 42258, 51602, 43549, 62115, 43556, 42535, 43433, 51626, 31019, 42421, 51766, 28858, 44221, 51645, 51646, 48321, 43586, 44100, 42565, 44230, 51658, 28875, 44110, 42447, 44243, 43220, 42709, 10072, 43621, 52971, 51948, 42480, 51956, 52981, 29560, 43003}","{178562, 178823, 178951, 164107, 178572, 178575, 178959, 178065, 188178, 189201, 166294, 188186, 189211, 179356, 179363, 178342, 179240, 188204, 178228, 187832, 180028, 141759, 179393, 179907, 178372, 180037, 163405, 178254, 179917, 187856, 180050, 179027, 178516, 187996, 163422, 187875, 179428, 187876, 199781, 184296, 178287, 187888, 178810}"
142773,CN1Cc2cc(N)ccc2C1(C)C,QAWIGFGJXOCTRI-UHFFFAOYSA-N,44.0,44.0,,Enamine,,Z1509482126,321.2,EUR,,,CN1Cc2cc(N)ccc2C1(C)C,2025-12-09,2,44,44,"{'Ester_amidation', 'Amidation'}","{42758, 51594, 42509, 42771, 43155, 51607, 43544, 43430, 42538, 31021, 44207, 51759, 42548, 51636, 42424, 44218, 51642, 44097, 44227, 48324, 43589, 51651, 10825, 44107, 51661, 43214, 44240, 28888, 43098, 28895, 29919, 43618, 52965, 42731, 43244, 43117, 51951, 42483, 42995, 29557, 51959, 43512, 44282, 51963}","{178565, 164104, 189195, 178316, 178578, 178962, 188181, 179351, 166296, 188189, 188193, 187810, 179237, 178345, 180014, 178355, 178231, 180025, 187837, 179904, 180034, 179396, 179914, 179021, 180047, 187989, 178905, 187866, 142812, 187872, 179425, 187881, 178538, 163435, 178924, 179051, 184299, 163442, 178290, 178802, 187891, 179319, 180089, 164476}"
140991,COCCCN1Cc2ccc(N)cc2C1,XWZRAKCORTZBKY-UHFFFAOYSA-N,33.0,33.0,,Enamine,,Z406357982,92.39999999999999,EUR,,,COCCCN1Cc2ccc(N)cc2C1,2025-12-09,1,33,33,{'Amidation'},"{29568, 51713, 43525, 43530, 44570, 54554, 28189, 44062, 43425, 53031, 29097, 43049, 44074, 43571, 44597, 51902, 43074, 51908, 43974, 43975, 48457, 29386, 10827, 43598, 43992, 42969, 29157, 29799, 51689, 43504, 47091, 48506, 51710}","{179332, 179337, 187919, 164115, 179869, 179232, 184481, 187940, 187943, 178856, 179881, 180398, 179378, 163644, 190910, 178881, 179781, 179782, 180425, 179405, 189261, 179799, 178776, 163933, 142814, 188132, 162278, 188138, 179311, 184432, 163704, 183034, 164350}"
140993,CC(C)CCN1Cc2ccc(N)cc2C1,IVAPZPHQPAQHHW-UHFFFAOYSA-N,33.0,33.0,,Enamine,,Z406357176,59.4,EUR,,,CC(C)CCN1Cc2ccc(N)cc2C1,2025-12-09,2,33,33,"{'Ester_amidation', 'Amidation'}","{29578, 53004, 44045, 43022, 53008, 54546, 43418, 51995, 43037, 43044, 43437, 43566, 44591, 44080, 62126, 44083, 51896, 43579, 48460, 10829, 43981, 43986, 42586, 29146, 29148, 29931, 47083, 51695, 29424, 51702, 51704, 43516, 29567}","{163971, 164487, 179852, 178829, 164114, 187925, 179225, 178844, 164125, 187932, 187934, 178851, 179244, 179373, 179887, 179890, 189234, 189238, 190902, 179386, 188225, 180419, 179788, 179793, 178393, 188126, 142816, 163693, 163695, 199792, 183026, 184435, 179323}"
140994,CCOCCCN1Cc2ccc(N)cc2C1,NJNJHDULCWSORL-UHFFFAOYSA-N,24.0,24.0,,Enamine,,Z406357730,43.2,EUR,,,CCOCCCN1Cc2ccc(N)cc2C1,2025-12-09,1,24,24,{'Amidation'},"{51735, 54558, 51743, 28199, 29491, 48563, 51891, 43193, 44604, 51904, 29507, 44611, 31052, 43597, 10831, 44370, 46423, 29271, 43225, 43880, 46320, 43894, 47095, 43902}","{182310, 166327, 179000, 187965, 182207, 190914, 187973, 164038, 179404, 180432, 180177, 164054, 180439, 179032, 188121, 184538, 142818, 188134, 179687, 163818, 162288, 179701, 179709, 183038}"
