target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C183026,1,,,,CC(C)CCN1Cc2ccc(N)cc2C1,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CC(C)CCN1Cc2ccc(NC(=O)c3cc(C4CC4)nc4c3cnn4C(C)C3CC3)cc2C1,Amidation,,
C183027,1,,,,CCCCN1Cc2cc(N)ccc2C1=O,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CCCCN1Cc2cc(NC(=O)c3cc(C4CC4)nc4c3cnn4C(C)C3CC3)ccc2C1=O,Amidation,,
C163099,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,Cc1ccc(N)cc1CNC(=O)OC(C)(C)C,Cc1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1CNC(=O)OC(C)(C)C,Amidation,,
C183030,1,,,,Nc1ccc2c(c1)CN(CC(F)(F)F)C2,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CC(C1CC1)n1ncc2c(C(=O)Nc3ccc4c(c3)CN(CC(F)(F)F)C4)cc(C3CC3)nc21,Amidation,,
C198800,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CCCCN1CCc2ccc(N)cc21,CCCCN1CCc2ccc(NC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)cc21,Amidation,,
C183032,1,,,,COCCN1Cc2cc(N)ccc2C1=O,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,COCCN1Cc2cc(NC(=O)c3cc(C4CC4)nc4c3cnn4C(C)C3CC3)ccc2C1=O,Amidation,,
C183033,1,,,,COCN1C(=O)c2ccc(N)cc2C1=O,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,COCN1C(=O)c2ccc(NC(=O)c3cc(C4CC4)nc4c3cnn4C(C)C3CC3)cc2C1=O,Amidation,,
C183034,1,,,,COCCCN1Cc2ccc(N)cc2C1,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,COCCCN1Cc2ccc(NC(=O)c3cc(C4CC4)nc4c3cnn4C(C)C3CC3)cc2C1,Amidation,,
C183035,1,,,,Nc1ccc2c(c1)C(=O)N(CC1CC1)C2=O,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CC(C1CC1)n1ncc2c(C(=O)Nc3ccc4c(c3)C(=O)N(CC3CC3)C4=O)cc(C3CC3)nc21,Amidation,,
C163107,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,Nc1ccc(Cl)c(C(=O)NC2CCCCC2)c1,O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc(Cl)c(C(=O)NC3CCCCC3)c2)c1)OCc1ccccc1,Amidation,,
C183037,1,,,,Nc1ccc2c(c1)CN(c1ccccc1)C2,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CC(C1CC1)n1ncc2c(C(=O)Nc3ccc4c(c3)CN(c3ccccc3)C4)cc(C3CC3)nc21,Amidation,,
C142812,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,CN1Cc2cc(N)ccc2C1(C)C,CN1Cc2cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc2C1(C)C,Amidation,,
C183038,1,,,,CCOCCCN1Cc2ccc(N)cc2C1,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CCOCCCN1Cc2ccc(NC(=O)c3cc(C4CC4)nc4c3cnn4C(C)C3CC3)cc2C1,Amidation,,
C142814,1,,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,COCCCN1Cc2ccc(N)cc2C1,COCCCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,Amidation,,
C183040,1,,,,CC(C)(O)CCN1Cc2ccc(N)cc2C1=O,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CC(C1CC1)n1ncc2c(C(=O)Nc3ccc4c(c3)C(=O)N(CCC(C)(C)O)C4)cc(C3CC3)nc21,Amidation,,
