compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
128069,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,AJKLRBSMVKYPMF-UHFFFAOYSA-N,9.0,10.0,7392,Enamine,,Z2733214122,65.0,EUR,,,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,2025-12-09,1,9,9,{'Ester_amidation'},"{29921, 29919, 29931, 10070, 10071, 10072, 29949, 29917, 29912}","{164487, 164478, 164469, 164504, 164474, 164476, 141757, 141758, 141759}"
141753,CN1Cc2cc(N)ccc2C1=O,VNYNRNAJJGDULT-UHFFFAOYSA-N,3.0,10.0,2576,Enamine,,EN300-218026,14.0,EUR,,,CN1Cc2cc(N)ccc2C1=O,2025-12-01,2,3,3,"{'Ester_amidation', 'Amidation'}","{62108, 42950, 10070}","{178757, 141757, 199774}"
141754,CN1C(=O)c2ccc(N)cc2C1=O,KMEBUNSLFRQSEM-UHFFFAOYSA-N,2.0,10.0,2769,Enamine,,EN300-02523,14.0,EUR,,,CN1C(=O)c2ccc(N)cc2C1=O,2025-12-01,2,2,2,"{'Ester_amidation', 'Amidation'}","{43540, 10071}","{179347, 141758}"
141755,CCN1Cc2cc(N)ccc2C1=O,JABHYVLKNVQMNM-UHFFFAOYSA-N,3.0,10.0,2577,Enamine,,EN300-790949,15.0,EUR,,,CCN1Cc2cc(N)ccc2C1=O,2025-12-01,2,3,3,"{'Ester_amidation', 'Amidation'}","{10072, 62115, 43549}","{179356, 199781, 141759}"
124938,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,DEQDFNBVRHFKBQ-UHFFFAOYSA-N,4.0,10.0,7372,Enamine,,Z3244911186,42.0,EUR,,,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,2025-12-09,1,4,4,{'Amidation'},"{10825, 10827, 10829, 10831}","{142816, 142818, 142812, 142814}"
142773,CN1Cc2cc(N)ccc2C1(C)C,QAWIGFGJXOCTRI-UHFFFAOYSA-N,3.0,10.0,7574,Enamine,,Z1509482126,73.0,EUR,,,CN1Cc2cc(N)ccc2C1(C)C,2025-12-09,2,3,3,"{'Ester_amidation', 'Amidation'}","{43544, 10825, 29919}","{164476, 142812, 179351}"
140991,COCCCN1Cc2ccc(N)cc2C1,XWZRAKCORTZBKY-UHFFFAOYSA-N,4.0,10.0,7537,Enamine,,Z406357982,28.0,EUR,,,COCCCN1Cc2ccc(N)cc2C1,2025-12-09,1,4,4,{'Amidation'},"{48457, 54554, 10827, 47091}","{184432, 183034, 190910, 142814}"
140993,CC(C)CCN1Cc2ccc(N)cc2C1,IVAPZPHQPAQHHW-UHFFFAOYSA-N,5.0,10.0,7538,Enamine,,Z406357176,18.0,EUR,,,CC(C)CCN1Cc2ccc(N)cc2C1,2025-12-09,2,5,5,"{'Ester_amidation', 'Amidation'}","{29931, 47083, 10829, 62126, 54546}","{142816, 164487, 199792, 183026, 190902}"
140994,CCOCCCN1Cc2ccc(N)cc2C1,NJNJHDULCWSORL-UHFFFAOYSA-N,5.0,10.0,7539,Enamine,,Z406357730,18.0,EUR,,,CCOCCCN1Cc2ccc(N)cc2C1,2025-12-09,1,5,5,{'Amidation'},"{46423, 10831, 46320, 47095, 54558}","{190914, 142818, 182310, 183038, 182207}"
121684,O=C(O)c1cccc2[nH]c(C(F)(F)F)nc12,HYGKNIWVMZCKJL-UHFFFAOYSA-N,2.0,10.0,7303,Enamine,,Z1079086976,15.0,EUR,,,O=C(O)c1cccc2[nH]c(C(F)(F)F)nc12,2025-12-09,1,2,2,{'Amidation'},"{28161, 28165}","{162249, 162253}"
135363,Nc1ccc2c(c1)C(=O)N(c1ccc(F)cc1)C2=O,KJJQQXNTFVPKAZ-UHFFFAOYSA-N,3.0,10.0,7487,Enamine,,Z351063820,32.0,EUR,,,Nc1ccc2c(c1)C(=O)N(c1ccc(F)cc1)C2=O,2025-12-09,1,3,3,{'Amidation'},"{28161, 47107, 54571}","{162249, 183050, 190927}"
140996,CN1C(=O)CCC(N2Cc3cc(N)ccc3C2=O)C1=O,CMHQPTBPDFUNKW-UHFFFAOYSA-N,6.0,10.0,7541,Enamine,,Z6062378662,46.0,EUR,,,CN1C(=O)CCC(N2Cc3cc(N)ccc3C2=O)C1=O,2025-12-09,1,6,6,{'Amidation'},"{47075, 28165, 47111, 62156, 54575, 46429}","{183018, 182316, 162253, 183054, 199822, 190931}"
