id,smiles,tags
18616,O=C1Nc2ccc(C(=O)Nc3ccc4c(c3)CNC4=O)cc2C1=O,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
22401,O=C1NCc2cc(NC(=O)c3cccc4c5c([nH]c34)CCC5)ccc21,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
26868,CN1C(=O)Cc2c(C(=O)Nc3ccc4c(c3)CNC4=O)cccc21,"{'syndirella_product', 'openbind_xx01zvns2b_c1_fragmenstein', 'openbind_xx01zvns2b_c2_elabs'}"
32865,CN1CCC(c2n[nH]c3ccc(C(=O)Nc4ccc5c(c4)CNC5=O)cc23)CC1,"{'syndirella_product', 'openbind_xx01zvns2b_c1_fragmenstein', 'openbind_xx01zvns2b_c2_elabs'}"
35657,CC1C(=O)Nc2ccc(C(=O)Nc3ccc4c(c3)CN(C)C4)cc21,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
35751,CN1Cc2ccc(NC(=O)c3ccc4c(c3)C(C)(C)C(=O)N4)cc2C1,"{'openbind_xx01zvns2b_c1_scaffolds_chemok_bbok', 'openbind_xx01zvns2b_c1_scaffolds_chemok', 'openbind_xx01zvns2b_c2_elabs', 'syndirella_product', 'openbind_xx01zvns2b_c1_fragmenstein', 'openbind_xx01zvns2b_c1_elaborated_scaffolds', 'openbind_xx01zvns2b_c1_scaffolds'}"
35789,CN1Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)C(=O)N4)cc2C1,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
35875,CN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
64766,C#CC(=O)NCc1nc2ccccc2[nH]1,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs', 'openbind_xx01zvns2b_c1_knitwork_impure'}"
65800,O=C1CCC(n2cc(NC(=O)c3csc4nccn34)cn2)CN1,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
66414,O=C(c1cccc2c3c([nH]c12)CCCC3)N1Cc2ccc([N+](=O)[O-])cc2C1,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs', 'openbind_xx01zvns2b_c1_knitwork_impure'}"
83648,Cc1ccc(C(F)(F)F)c(C(=O)Nc2cn(C)nc2C)c1,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
101698,CC1(C)C(=O)Nc2ccc(C(=O)Nc3ccc4c(c3)CNC4=O)cc21,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
103216,O=C1NCc2cc(NC(=O)c3cccc4nc(C(F)(F)F)[nH]c34)ccc21,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
103413,Cc1nc2c(C(=O)Nc3ccc4c(c3)CNC4=O)cc(Cl)cc2[nH]1,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
106823,O=C1NCc2cc(NC(=O)c3cc(F)cc4nc(-c5ccccc5)[nH]c34)ccc21,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
110945,CCC(NC(=O)C(C)(C)Br)c1ncc[nH]1,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs', 'openbind_xx01zvns2b_c1_knitwork_impure'}"
123157,CC(C)(C)OC(=O)N1Cc2ccc(NC(=O)c3cncc4n[nH]cc34)cc2C1,"{'syndirella_product', 'openbind_xx01zvns2b_c2_elabs'}"
