target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-3-1,reactant-4-1
C249,1,,,,O=C(O)c1cc(Cl)cc2c1cnn2C1CNC1,Nc1ccc(F)cc1N1CCCC1=O,O=C(Nc1ccc(F)cc1N1CCCC1=O)c1cc(Cl)cc2c1cnn2C1CNC1,Amidation,,,,,,,,,,
C265,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(F)cc(-c2cn[nH]c2)c1,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cn[nH]c2)c1,Amidation,,,,,,,,,,
C266,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(Cl)cc2[nH]cnc12,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]cnc12,Amidation,,,,,,,,,,
C279,1,,,,O=C(O)c1cc(Cl)cc2c1cnn2C1CNC1,Nc1ccc(C2CNC2)cc1,O=C(Nc1ccc(C2CNC2)cc1)c1cc(Cl)cc2c1cnn2C1CNC1,Amidation,,,,,,,,,,
C283,1,,,,O=C(O)c1cc(Cl)cc2c1cnn2C1CNC1,Cc1cnc(N)cc1C,Cc1cnc(NC(=O)c2cc(Cl)cc3c2cnn3C2CNC2)cc1C,Amidation,,,,,,,,,,
C284,1,,,,C#CC1CNC1,Nc1ccc(C(=O)Nc2ccc3c(c2)CNC3)cc1Br,O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]c(C3CNC3)cc2c1,Larock_indole_synthesis,,,,,,,,,,
C289,1,,,,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(Br)c1,OB(O)c1cocn1,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cocn2)c1,Sp2-sp2_Suzuki_coupling,,,,,,,,,,
C290,1,,,,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(Br)c1,CC1(C)OB(c2cc[nH]n2)OC1(C)C,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cc[nH]n2)c1,Sp2-sp2_Suzuki_coupling,,,,,,,,,,
C193,1,,,,Nc1ccc2c(c1)CNC2,N#Cc1c[nH]c2c(C(=O)O)cccc12,N#Cc1c[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cccc12,Amidation,,,,,,,,,,
C293,1,,,,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(Br)c1,CC1(C)OB(c2cncs2)OC1(C)C,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cncs2)c1,Sp2-sp2_Suzuki_coupling,,,,,,,,,,
C296,1,,,,CC1(C)OB(c2c[nH]c3ccccc23)OC1(C)C,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(Br)c1,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2c[nH]c3ccccc23)c1,Sp2-sp2_Suzuki_coupling,,,,,,,,,,
C302,1,,,,Nc1ccc(C2CNC2)cc1,O=C(O)c1cc(Cl)cc2c1cnn2C1CCOCC1,O=C(Nc1ccc(C2CNC2)cc1)c1cc(Cl)cc2c1cnn2C1CCOCC1,Amidation,,,,,,,,,,
C173,1,,,,O=C1Cc2c(cccc2C(=O)O)N1,NCCc1cccc(N)c1,NCCc1cccc(NC(=O)c2cccc3c2CC(=O)N3)c1,Amidation,,,,,,,,,,
C18613,1,,,,Nc1ccc2c(c1)CNC2,CC1C(=O)Nc2ccc(C(=O)O)cc21,CC1C(=O)Nc2ccc(C(=O)Nc3ccc4c(c3)CNC4)cc21,Amidation,,,,,,,,,,
C18682,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,O=C(Nc1ccc2c(c1)CNC2)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,Amidation,,,,,,,,,,
C171,1,,,,NCc1cccc(N)c1,O=C1Cc2c(cccc2C(=O)O)N1,NCc1cccc(NC(=O)c2cccc3c2CC(=O)N3)c1,Amidation,,,,,,,,,,
C119,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(F)cc2[nH]nnc12,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]nnc12,Amidation,,,,,,,,,,
