compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
121388,N,QGZKDVFQNNGYKY-UHFFFAOYSA-N,3.0,,,,,,,,,,,,3,3,3,"{'Amidation', 'Ugi_imidazole_synthesis', 'N-nucleophilic_aromatic_substitution'}","{62539, 62515, 62534}","{78, 100, 6}"
202013,COc1ccc2sc(F)nc2c1,YAIXZZARBRILEO-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'N-nucleophilic_aromatic_substitution'},{62515},{6}
121750,CC(C)(N)CO,CBTVGIZVANVGBH-UHFFFAOYSA-N,1.0,100.0,110644,Stock,,EN300-19785,0.0,,0.0,,,2025-11-18,1,1,1,{'Amidation'},{62516},{8}
202014,O=C(O)c1cccc(Cl)c1,LULAYUGMBFYYEX-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{62516},{8}
202015,O=C(O)c1ccc(F)c(F)c1,FPENCTDAQQQKNY-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{62517},{9}
202016,CN1CCNCC1,PVOAHINGSUIXLS-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{62517},{9}
128653,O=C(O)c1cscn1,HMVYYTRDXNKRBQ-UHFFFAOYSA-N,1.0,100.0,31151,Enamine,Global catalog,EN300-67411,18.0,EUR,10.0,,O=C(O)c1cscn1,2025-09-29,1,1,1,{'Amidation'},{62518},{27}
202017,NC1CCC(=O)NC1,APDCFRUAEFSNPV-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{62518},{27}
128494,Brc1ncc[nH]1,AXHRGVJWDJDYPO-UHFFFAOYSA-N,1.0,100.0,110571,Stock,,EN300-91720,0.0,,0.0,,,2025-11-18,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{62519},{32}
202018,CC(=O)NCB(O)O,NMDBCQJRADLOIC-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{62519},{32}
202019,Cc1nsc(I)n1,CROMKMCAZNXRCV-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Buchwald-Hartwig_amination'},{62520},{36}
202020,CC1(CO)CCCC1N,VGJDOVOKSWFTCD-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Buchwald-Hartwig_amination'},{62520},{36}
202021,NCc1ccccc1O,KPRZOPQOBJRYSW-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Nucleophilic_aromatic_substitution_(methylsulfone)'},{62521},{42}
202022,CSc1nc2ccccc2[nH]1,OCKJFOHZLXIAAT-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Nucleophilic_aromatic_substitution_(methylsulfone)'},{62521},{42}
121310,C1CNCCN1,GLUUGHFHXGJENI-UHFFFAOYSA-N,1.0,100.0,110603,Stock,,EN300-33920,0.0,,0.0,,,2025-11-18,1,1,1,{'N-nucleophilic_aromatic_substitution'},{62522},{48}
161105,COc1ccnc(F)n1,OMQUOYFSRFPLLU-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'N-nucleophilic_aromatic_substitution'},{62522},{48}
129145,COCC(=O)O,RMIODHQZRUFFFF-UHFFFAOYSA-N,1.0,100.0,64881,Enamine,Global catalog,EN300-20233,18.0,EUR,10.0,,COCC(=O)O,2025-09-29,1,1,1,{'Amidation'},{62523},{52}
202023,CC(=O)Nc1cccc(N)c1,PEMGGJDINLGTON-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{62523},{52}
123466,Cn1cc(N)cn1,LBGSWBJURUFGLR-UHFFFAOYSA-N,3.0,100.0,110654,Stock,,EN300-52973,0.0,,0.0,,,2025-11-18,1,3,3,{'Amidation'},"{62530, 62524, 62525}","{64, 53, 54}"
202024,O=C(O)c1ccccc1C(F)(F)F,FBRJYBGLCHWYOE-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{62524},{53}
