smiles,template,compound_set,hit1
COc1ccc2sc(N)nc2c1,Z0051a,openbind_xx01zvns2b_c2_elaborated_hits,Z0051a
CC(C)(CO)NC(=O)c1cccc(Cl)c1,Z0101a,openbind_xx01zvns2b_c2_elaborated_hits,Z0101a
CN1CCN(C(=O)c2ccc(F)c(F)c2)CC1,Z0130a,openbind_xx01zvns2b_c2_elaborated_hits,Z0130a
O=C1CC[C@@H](NC(=O)c2cscn2)CN1,Z0673a,openbind_xx01zvns2b_c2_elaborated_hits,Z0673a
O=C1CC[C@@H](NC(=O)c2cscn2)CN1,Z0673b,openbind_xx01zvns2b_c2_elaborated_hits,Z0673b
CC(=O)NCc1ncc[nH]1,Z0719a,openbind_xx01zvns2b_c2_elaborated_hits,Z0719a
Cc1nsc(N[C@H]2CCC[C@]2(C)CO)n1,Z0777a,openbind_xx01zvns2b_c2_elaborated_hits,Z0777a
Oc1ccccc1CNc1nc2ccccc2[nH]1,Z0846b,openbind_xx01zvns2b_c2_elaborated_hits,Z0846b
Oc1ccccc1CNc1nc2ccccc2[nH]1,Z0846a,openbind_xx01zvns2b_c2_elaborated_hits,Z0846a
COc1ccnc(N2CCNCC2)n1,Z0945a,openbind_xx01zvns2b_c2_elaborated_hits,Z0945a
COCC(=O)Nc1cccc(NC(C)=O)c1,Z1046a,openbind_xx01zvns2b_c2_elaborated_hits,Z1046a
COCC(=O)Nc1cccc(NC(C)=O)c1,Z1046b,openbind_xx01zvns2b_c2_elaborated_hits,Z1046b
Cn1cc(NC(=O)c2ccccc2C(F)(F)F)cn1,Z1098a,openbind_xx01zvns2b_c2_elaborated_hits,Z1098a
COc1cncc(-c2ccccc2C(=O)Nc2cnn(C)c2)c1,Z1234a,openbind_xx01zvns2b_c2_elaborated_hits,Z1234a
Cc1cnccc1NC(=O)c1cc(C2CC2)n(C)c1C,Z1237a,openbind_xx01zvns2b_c2_elaborated_hits,Z1237a
COc1cc(-c2ccccc2C(=O)Nc2cnn(C)c2)ccn1,Z1265a,openbind_xx01zvns2b_c2_elaborated_hits,Z1265a
Cc1cnccc1NC(=O)c1cc(C2CC2)n(C)c1C,Z1271a,openbind_xx01zvns2b_c2_elaborated_hits,Z1271a
Cc1cnccc1NC(=O)c1cccc(-c2nccs2)c1,Z1274a,openbind_xx01zvns2b_c2_elaborated_hits,Z1274a
COc1ccc(-c2ccccc2C(=O)Nc2cnn(C)c2)cn1,Z1320a,openbind_xx01zvns2b_c2_elaborated_hits,Z1320a
Cn1cc(NC(=O)c2cccc3ncccc23)cn1,Z1342a,openbind_xx01zvns2b_c2_elaborated_hits,Z1342a
Cc1ncc(-c2ccccc2C(=O)Nc2cnn(C)c2)cn1,Z1398a,openbind_xx01zvns2b_c2_elaborated_hits,Z1398a
Cc1cn2ccc(C(=O)Nc3ccncc3C)cc2n1,Z1495a,openbind_xx01zvns2b_c2_elaborated_hits,Z1495a
CCC(=O)Nc1cncc(C(=O)Nc2ccncc2C)c1,Z1597a,openbind_xx01zvns2b_c2_elaborated_hits,Z1597a
Cc1cc(OCC(N)=O)c2cccc(C)c2n1,Z1715a,openbind_xx01zvns2b_c2_elaborated_hits,Z1715a
CC(=O)N[C@@H](CCCN)C(=O)Nc1cccc2cccnc12,Z1728a,openbind_xx01zvns2b_c2_elaborated_hits,Z1728a
O=C(Nc1cccc2cccnc12)C1CCNCC1,Z1729a,openbind_xx01zvns2b_c2_elaborated_hits,Z1729a
CC(=O)N[C@@H](CCCN)C(=O)Nc1cccc2cccnc12,Z1752a,openbind_xx01zvns2b_c2_elaborated_hits,Z1752a
Cc1cc(CO)c2cccc(NC(=O)[C@H]3C[C@H](N)C3)c2n1,Z1753a,openbind_xx01zvns2b_c2_elaborated_hits,Z1753a
O=C(c1csc([C@H]2CCCNC2)n1)N1CC[C@H](c2cccnc2)C1,Z2094a,openbind_xx01zvns2b_c2_elaborated_hits,Z2094a
Cc1nc([C@H]2CCCNC2)[nH]c1C(=O)Nc1ccccn1,Z2262a,openbind_xx01zvns2b_c2_elaborated_hits,Z2262a
NCc1cccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,Z2992a,openbind_xx01zvns2b_c2_elaborated_hits,Z2992a
NCCc1cccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,Z3021a,openbind_xx01zvns2b_c2_elaborated_hits,Z3021a
NCCc1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1,Z3024a,openbind_xx01zvns2b_c2_elaborated_hits,Z3024a
C[C@@H](N)c1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1,Z3028a,openbind_xx01zvns2b_c2_elaborated_hits,Z3028a
O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CNC3)c1)OCc1ccccc1,Z3059a,openbind_xx01zvns2b_c2_elaborated_hits,Z3059a
NCc1cccc(NC(=O)c2cc(Cl)cc(CN)c2)c1,Z3060a,openbind_xx01zvns2b_c2_elaborated_hits,Z3060a
NCc1cccc(NC(=O)c2cccn3cc(CN4CCCC4)nc23)c1,Z3093a,openbind_xx01zvns2b_c2_elaborated_hits,Z3093a
CC(C)c1nc2c(C(=O)Nc3cccc(CN)c3)cccc2[nH]1,Z3094a,openbind_xx01zvns2b_c2_elaborated_hits,Z3094a
NCc1cc(Cl)cc(C(=O)Nc2cccc(-c3nn[nH]n3)c2)c1,Z3264a,openbind_xx01zvns2b_c2_elaborated_hits,Z3264a
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]ccc12,Z3400a,openbind_xx01zvns2b_c2_elaborated_hits,Z3400a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,Z3441a,openbind_xx01zvns2b_c2_elaborated_hits,Z3441a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]nnc12,Z3452a,openbind_xx01zvns2b_c2_elaborated_hits,Z3452a
O=C(Nc1ccc2c(c1)CNC2)c1cncc2[nH]ncc12,Z3466a,openbind_xx01zvns2b_c2_elaborated_hits,Z3466a
C[C@H](C1CC1)n1ncc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(C3CC3)nc21,Z3468a,openbind_xx01zvns2b_c2_elaborated_hits,Z3468a
N#Cc1ccc(C(=O)Nc2ccc3c(c2)CNC3)cc1Cl,Z3473a,openbind_xx01zvns2b_c2_elaborated_hits,Z3473a
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]cnc12,Z3476a,openbind_xx01zvns2b_c2_elaborated_hits,Z3476a
