id,smiles,tags
355,COC(=O)Cc1nccn1C1CCCNC1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
359,Cn1cnc(C(C)(F)C2CCCNC2)c1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
453,O=C(C=Cc1cccnc1)NCC(=O)N1CCc2sccc2C1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
497,O=C(Nc1ccn2ccnc2c1)c1cc2c(s1)CCNC2,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
621,CCC(Nc1ccccc1OCCF)c1ccncc1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
626,COCc1ccc(NCC(C)c2ccncc2)nc1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
698,Cc1ncsc1C(=O)NC(C)(C)CCNC(=O)c1cncnc1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
771,O=C(NCc1ccc2c(c1)CNC2)Nc1nc2ccccc2s1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
775,c1ccc2c(-c3ccc(C4CC4)nc3)ccnc2c1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure', 'openbind_xx01zvns2b_c1_knitwork_impure'}"
780,FCCc1nc(-c2ccccn2)nn1-c1ccnc2ccccc12,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
784,CCc1ccnc(C(=O)Nc2ccnc3ccccc23)c1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
816,N#Cc1cccnc1N1CC2CN(c3ccnc4ccccc34)CC2C1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
824,CN(C(=O)c1ccnc(C2CC2)c1)c1cccc2cccnc12,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
834,O=C(NC1CCN(c2ccccn2)C1)c1cccc2cccnc12,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1031,COc1ccc2cc(C(=O)NC(C)c3cn[nH]c3)ccc2n1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1047,Cc1cnn2c1CN(C(=O)NC(C)c1cccnc1)CC2,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure', 'openbind_xx01zvns2b_c1_knitwork_impure'}"
1055,O=C(Cc1cccnc1)N1CCn2nccc2C1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1103,CC(C)CC(=O)N1Cc2ccnn2C(CC(=O)NCCc2ccncc2)C1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure', 'openbind_xx01zvns2b_c1_knitwork_impure'}"
1219,O=C(CCc1cncs1)N1CC2(CCC2)C1c1ccncc1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1225,O=C(Nc1ncc(C2CCOC2)s1)C(F)(F)c1ccncc1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1434,Cc1cc(NCc2ccc3c(c2)CNC3)ccn1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1469,CCSCc1ccnc(NC(=O)c2ccc3c(c2)CNC3)c1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1471,COc1cccc(NC(=O)c2ccc3c(c2)CNC3)n1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1553,CC(C)CC(NC(=O)C(C)c1ccccn1)c1nc2ccccc2[nH]1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1649,O=C(CSc1nc2ccccc2[nH]1)NCc1ncc[nH]1,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1717,CC(=O)NCc1ccc2c(c1)CN(C(=O)CCc1cscn1)C2,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
1728,C=C(C(=O)N1Cc2ccc(CNC(C)=O)cc2C1)C(C)(C)C,"{'openbind_xx01zvns2b_c1_scaffolds', 'openbind_xx01zvns2b_c1_knitwork_pure'}"
